question_id,test_id,question,optionA,optionB,optionC,optionD,answer,explanation,paragraph,image,explanationImage
,7,"A can do work in 24 days. B and C together can do the same work in 18 days. In how many days can A, B and C together do a work which is 31/2 times the previous work?",32 days,28 days,36 days,40 days,c,"A, B and C in one day can do 1/24 + 1/18 = (3+4)/72= 17/12 of the work.\nA, B and C together can do the work in 72/7 days.\nSo they can do 31/2 times the work in (72/7)x (7/2) = 36 days. ",,,
,7,"A and B together can complete a work in 6 days. A alone can complete the same work in 10 days. Every day if B works only half a day then in how many days can A and B together complete the work?",12 days,8 days,7 1/2 days,4 1/2 days,c,"In one day : The part of the work done by A = 1/10\nThe part of the work done by A and B together in = 1/6\nThe part of the work done by B =1/6 - 1/10 = 1/15\nB alone can complete the work in 15 dyas.\nIf B does only half a day daily then B  can complete the work in 30 days.\nThe part of the work done by A and B together in one day\n=1/10+1/30 =2/15 .\nA and B together can complete the work in 15/2 i.e., 71/2 days ",,,
,7,"A can do half as much wok as B in two-fifth of the time taken by B. If together they take 20 days, how much time shall b take to do it alone?",15 days,90 days,45 days,60 days,c,"	Let B alone can do the work in ‘x’ days \nA alone can do the work in = (2x/5)/((1/2))=4x/5days \n=1/x+1/(4x/5)=1/20 \n=9/4x=1/20=x = 45 ",,,
,7,"A is 80% as efficient as B. C does two-third of the work done by A and B together in the same time. If C alone does the work in 10 days. Then A  and C, together can do the work in ",12 days,24 days,18 days,6 days,d,"Let the work done by A, B and C be a, b and c respectively.\nGiven : a= 8/100b=a/b=4/5             (1)\nC=2/3(a+b)       			          (2)\nAnd c=1/10                            (3)\nBy solving (1), (2) and (3); a=1/15\n=a + c=1/10+1/15=1/6\nA and C together can do the work in 6 days.",,,
,7,"A can do a work in 21 days and B and 28 days. Together they started the work and B left after 4 days. In how many days can A alone do the remaining work?",12,10,16,14,d,"Let A worked for x days\n-x/21+ 4/28=1 => x/21=6/7=>x=18\nA worked for 18 days. So A can complete the remaining work in 18-4=14 days.",,,
,7,"22 skilled men can do a piece of work in 10 days  and 45 unskilled men can do the work in 30 days. In how many days can 45 unskilled and 22 skilled men do the work?",10,9,8.5,7.5,d,"One day work of 45 unskilled and 22 skilled workers =1/30+1/10=(3+1)/30=2/15\nSo they take =15/2=7.5 days to complete the work.",,,
,7,"P and Q can do a work in 12 days and 16 days respectively. If they work on alternate days, beginning with Q, then in how many days will the work be completed?",13 1/4,13 2/3,13 3/4,13 1/3,c,"Part of work completed in the first two days\n=1/16+1/12=(3+4)/48=7/48\nWork done in (2 x 6) days =7/48 x 6\nSo, in 12 days 7/8of work is completed.\nWork remaining after 12 days = 1-7/8=1/8\nOn the 13th day Q works and he can do 1/16 of total work on that day.\nWork remaining after 13 days = 1/8 - 1/16=1/16\nOn the 14th day P works and he can complete the work in  (1/16)/(1/12) =3/4days\nTotal time taken=133/4 days.",,,
,7,"50 workers can complete a job in 45 days. After 9 days, some more workers joined and the job was completed 6 days earlier. How many new workers joined?",12,10,15,20,b,"Let the number of workers joined after 9 days be x.\nWe have M1D1¬ =M2D2\n50 x 36 = (50 + x) (36-6)\n	30x=50(36-30)\n x =10",,,
,7,"Pipes P and Q can fill a tank in 20 hours and 30 hours respectively and pipe R can empty it in 18 hours. If all the three are opened at 8 a.m. by what time will one sixth of the tank be filled?",2 pm,2 am,4 pm,6 pm,a,"The part of the tank filled by pipes P and Q in one hour are 1/20 and 1/30 respectively.\nThe part of the tank emptied by pipe R in one hour = 1/18\nThe part of the tank filled in 1 hour when all the pipes are opened\n=1/20+1/30-1/18=1/36\nThe tank can be filled in 36 hours and hence one-sixth of the tank is filled in 6 hours, i.e., at 2 p.m.",,,
,7,"Two pipes P and Q can fill a cistern in 24 minutes and 30 minutes respectively. Both are opened together, but at the end of 8 minutes, P is turned off. In how many more minutes will Q fill the cistern?",9 min,12 min,15 min,18 min,b,"Let Q took x more minutes to fill the cistern after P is turned off.\nPipe P is kept open for 8 minutes and Q for ‘x+8’ minutes.\n-8/24+(x+8)/30=1\n-(x+8)/30=2/3\n x=12 minutes.",,,
,7,"According to the passage, which of the following is true of the climate change ? ","The impacts of climate change have not seriously been considered by developed countries. ","UN-REDD programme was implemented in many developing countries for conserving the forests. ","Good multilateral relationships among various countries have become imperative to address the issues of climate change.","Climate change can easily be averted by the collective efforts contributed by both developed and developing countries",c,"it has become the crucial agenda of international relations","Climate change is one of the several dimensions of sustainable development. While averting climate change and achieving sustainable development are desired by all, there are conflicts of opinions about the solutions to achieve the goals as well as limitations of knowledge in designing perfect and universally acceptable solutions and resources to implement them. Global partnerships aim for capitalizing on the opportunities of cooperation for ground actions to the benefit of all. UN-REDD programme is one such programme providing a new opportunity of income to people in developing countries by conserving their forests and switching over to land uses with high carbon stocks; developed countries paying for carbon conserved and sequestered by people in developing countries. As climate change will affect both developed and developing countries, it has become the crucial agenda of international relations and a point of action driving convergence of social, economic and environmental development goals and synergy or the best trade off between short term and long term and local and global development goals. The goal of sustainable development is so vast and a problem like climate change is so complex that we need to adopt the best available solution(s) without delay, monitor the outcomes and further improve the tried solution with new knowledge and experiences: a flexible and adaptive problem solving strategy.",,
,7,"According to the author, the sustainable development is ","required a realistic vision that has to be agreed to by all developed countries.","based on the continuous attempts to understand the existing problems at multiple levels.","dependent mainly  on the outcomes from the tried solutions. ","not to be solved with the strategies used for resolving climate change. ",b,"The goal of sustainable development is so",,,
,7,"According to the passage, global partnership is essential ","for translating the goals into actions in order to decrease global warming.","for forming a synergy to discuss the socioeconomic issues in the developing countries.","to achieve sustainable development by evolving effective strategies. ","to gain new knowledge for understanding the difficulties in achieving ecologically sustainable world. ",a,"Global partnerships aim for capitalizing on the………………………….\n(Global partnership  is important both for fighting climate change and creating sustainable development)",,,
,7,"The energy sustainability policies would affect all coal consuming sectors ","that supply of coals to power sectors will be reduced. ","that it is inferred that coal consuming sectors would not contribute to create sustainable energy sectors.","thermal power sectors have inadequate technology to produce cost efficient and sustainable energy. ","the demands for coal have increased in recent times and therefore coming out with an alternative to coal is essential. ",b,"New energy equipment has to be manufactured for energy efficiency. (Coal is not going to help the purpose)","The energy in 21st century is undergoing transformation. The emphasis is shifting from demand sectors to energy supply sectors. Climate and energy sustainability policies would affect all coal consuming sectors and therefore will go into the core of economic activities. Planners and researchers would have to realign their goals for meeting climate change objectives. New energy equipment has to be manufactured for energy efficiency. Solar thermal generators and concentrators have to be designed. Simultaneous work is also required in multi-disciplinary carbon sequestration technology development. These technologies are not commercially proven yet and current S&T perspective among energy industries need to be shared. Integrated look at industrial growth, good agriculture management and agro-forestry practices has become necessary. As India gears to achieve a global presence in energy industry, through such initiatives, investment in R&D would increase and knowledge sharing among the various stakeholders can be organized on the national scene.",,
,7,"The author speaks of the carbon sequestration technology for","asserting that carbon emission is the main cause of global warning","sensitizing the need for advanced technology to obtain sustainable energy. ","Criticizing the lack of R&D in bringing out advanced technologies to tackle global warming.","Highlighting the results of researches carried out by many countries to bring down carbon emission. ",b,"Solar thermal generators and concentrators have to be designed. Simultaneous work is also required……… (of the many new plans, carbon sequestration on among them)",,,
,7,"The main idea of the passage is ","to discuss the importance of moving to sustainable energy use. ","to discuss the tasks ahead for India to create  sustainable energy corridors.","to emphasise that India has to draft new policies in consultation with other countries to fight global warming. ","to appreciate that  our country would prove its global presence in energy sector. ",b,Refer to first and last lines of the passage,,,
