questionNumber,test_id,question,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,paragrph,image,explanationImage
,11,"Which of the following can be understood from the first paragraph of the passage? ",Common sense represents the knowledge on the nonexistent materials in the world. ,We hardly feel the hidden sociological notions naturally embedded to the common sense.,Common sense enables everyone to reckon and experience the phenomena of the world.,	People bound by commonsensical notion do not resist questions which would help them alter views.,b, "These facts may seem unquestionably simple and straightforward, but there is a deeper sociological value in them. It is often argued that sociological thinking is just a branch out of commonsense. People associate it with analysing the obvious and providing circular reasoning that never seem to have an empirical way of validation.","It is often argued that sociological thinking is just a branch out of commonsense. People associate it with analysing the obvious and providing circular reasoning that never seem to have an empirical way of validation. However, further comparison of the two can show the distinctions that can be illustrated by a simple reflection on our own lives. Everything around us exists in a commonsensical dimension - the size of clothes we're wearing, the brand of car we drive, or even the manner this essay is presented. It is commonsense that we choose the clothes that fit us whether we're an S or L size, we choose a certain type of car just because it allows us to be perceived in a certain way, and this essay is written in formal English and passed up on time because it contributes to our first year evaluation. These facts may seem unquestionably simple and straightforward, but there is a deeper sociological value in them. Who gets to decide which body shapes get to be a small size or a large size? Why do we feel much better driving a Mercedes than a Hyundai? What is so important about a degree? These are the questions sociological thought would implicate that commonsense would not able to.\nFirst, the difference of the two is that commonsense is a collective body of observed knowledge based on personal experiences, but sociological thinking is not. Nonetheless, it is understood that a part of sociological thought is derived from commonsense and everyday observation. As Berger once claimed,\n'To ask sociological questions, then, presupposes that one is interested in looking some distance beyond the commonly accepted or officially defined goals of human actions. It presupposes a certain awareness that human events have different levels of meaning, some of which are hidden from the consciousness of everyday life.'\nSociological thinking tries to view the society not as a group of isolated individuals or separate institutions, but as a whole . According to Brown, the society is an abstract concept that cannot be seen physically. It is a conceptual web of relations between people and the social institutions. While commonsense is extracted and slowly built up by practical knowledge of the everyday life, sociological thinking differs as it encourages thoughts and ideas that are levels higher than individuals' personal experiences; it sprouts thoughts on society as a whole.\nSecond, sociological thinking allows challenges to the presumed commonsense and urges a more radical and provoking approach to the social facts. According to Bauman and May, the relationship between commonsense and sociological thinking is a rather dependent one where sociological thinking is interpreting and investigating the meanings of social actions and facts that have been branded by commonsense. Commonsense has already labeled meanings and responses to most of the social facts that are collectively known by the members of society. The repitition of the actions become habitual, there are no more questionings for the meaning behind commonsense and they are somehow categorised as true and standing ways of life. \nBrown argues that the collection of the facts derived from collective comon sense are not equivalent to sociological thinking and research. It can only be fully understood with sociological theories which are formed with the sociological thought and imagination.\nThird, sociological thought can be categorised as scientific while commonsense cannot. Ananalytical comparison between commonsense and science by Nagel shows that science cannot be leveled with commonsense. In his rebuttal to Nagel's claim, Elliot strived to prove that commonsense is a part of science in the most basic ways, such as the conduct of experiment requires observation that is mainly an action that requires engagement and interpretation of the researcher himself. To further assert the claim, Emile Durkheim explored the positivist methodology in social science with his research on suicide. He thus affirms that sociology can be a science, alongside biology and psychology. Sociological thinking tries to view and analyse the social world from an objective standpoint while commonsense is a product of an individual's subjective experiences and therefore, the latter cannot be considered science.\nCommonsense is culturally angled knowledge that is subjectively varied between individuals and societies. However, sociological thinking attempts to postulate a higher level of consciousness and objectiveness to the macro social trends and happenings in relation to the society as a whole. C. Wright Mills once wrote, 'The sociological imagination enables its possessor to understand the larger historical scene in terms of its meaning for the inner life and the external career of a variety of individuals.'So, with the points above, it can be concluded that sociological thinking is commonsense further evolved and probed to allow a greater understanding of society.\nCommon sense knowledge is based on beliefs, experiences and assumptions. Sociological knowledge is based on rigorous qualitative or quantitative research. Common sense reflects the generally accepted notions of a phenomenon and reinforces the status quo; whereas sociology, especially conflict theorists, challenge the status quo and argues for a change in the system. Common sense view is not reliable and valid, while the sociological view is highly reliable and valid\nSociology is criticized for being merely common sense and stating the obvious but in more detail than what we already know. Read and be informed...\nSociology and other social sciences focus on the study of certain aspects of human behavior. Yet human behavior is something with which we all have experience and about which we have at least a bit of knowledge. In our daily lives, we rely on common sense to get us through many unfamiliar situations. However, this knowledge while sometimes accurate is not always reliable because it rests on commonly held beliefs rather than systematic analysis of facts.\n Common sense is knowledge and awareness that is held communally (shared by majority of people). It does not depend on specialist education and in some respects states the obvious. Sociology is study of society and of people and their behavior. Positivists claim that it produces scientific knowledge.\nMany people argue that sociology merely state the obvious by reporting what common sense already tells us. In other words, sociology is criticized for being merely common sense and stating the obvious but in more detail than what we already know. Many sociologists have responded that common sense is wrong and obvious truths are not so obvious.\nCommon sense ideas and explanations represent a form of social perspective since they claim to represent the things that everyone knows about the social world and / or human behavior. These ideas are not necessarily incorrect but they seem to be different from sociological forms of knowledge.\nDurkheim led us to our first sociological understanding of the relationships between individuals and society, in that he contradicted common sense notions or perspectives.\nFrom common sense, we feel that society is made up of and controlled by individuals, whereas Durkheim showed us that individuals are products of society, and that society has various characteristics that go beyond the individual, and can not be explained by individual behaviour",,
,11,"According to the passage, Berger's claim is valid only if ",it is proved that sociological thinking must be the part of common sense. ,it is understood that common sense has to be the base for sociological thinking.,it is accepted sociological thinking and common sense need not be different.,it is proved sociological thinking is not at all possible without common sense. ,c,"Nonetheless, it is understood that a part of sociological thought is derived from commonsense and everyday observation. As Berger once claimed.",,,
,11,"The main idea of the passage is  ",To clarify the seeming discrepancies in the conception of two various theories.,To discuss the evolution of sociological thinking as scientific method of thinking.,To explain how society is controlled by individual behaviors ,To differentiate two various theories analysing their incompatible assumptions.,a,"Refer to and read clearly the first and last paragraphs of the passage. The main idea of the passage is to postulate two different theories and analyze their credibility. ",,,
,11,"It can be assumed of the human behavior that" ,It contributes to the formation of improved commonsensical knowledge.,It prompts experiences to gain the most reliable sociological knowledge. ,It improves the analytical sense of people to enhance the sociological thinking.,It confirms the accuracy of the commonsensical knowledge of people. ,a,"So, with the points above, it can be concluded that sociological thinking is commonsense further evolved and probed to allow a greater understanding of society.",,,
,11,"It can be inferred from (Commonsense is culturally angled knowledge……. to allow a greater understanding of society.) that ",Common sense cannot be altered and improved by new knowledge on society. ,Common sense is a sort of foundation for gaining wide knowledge of society.,The perspective from which people usually think includes a high amount of social thinking.,Social thinking gives one the inner knowledge of life and career.,b,"Common sense is the foundation for one to acquire sociological knowledge, Because sociological thinking, according to the passage, is a different view of the world but not rejecting common sense. ",,,
,11,"Which of the following statement best illustrates that common sense is more a subjective knowledge?" ,I am not supposed to park the car across a road.,I am not supposed to use my car if have a good public transport. ,I can buy a costly car by loan ,I am not able to buy a car if I do not have enough money. ,d,"your common sense says that money is necessary to buy anything in the world. Parking the car across the road is not a feeling but it is a behavior. ",,,
,11,"According to the passage, the criticism leveled against sociology",is valid given that sociology theoretically reproduces only the beliefs and experiences of people. ,Cannot be accepted because sociology helps one acquire a complete knowledge of human behavior.,Can be considered as sociology is a farfetched concept which is irrelevant to common men.,is acceptable because sociology does not view society as the sentiments of all individuals.,a,"Sociology is criticized for being merely common sense and stating the obvious but in more detail than what we already know. Read and be informed…",,,
,11,"The given passage is " ,narrative,subjective,analytical ,illustrative ,c,"). Analytical. The passage objectively analyses the pros and cons in the two theories with supporting points. ",,,
,11,"A cube of edge 15 cm is immersed completely in a rectangular vessel containing water. If the dimensions of the base of vessel are 20 cm x 15 cm, find the rise in water level.",10.25 cm,11.25 cm,12.25 cm	,13.25 cm,b,"Increase in volume = Volume of the cube = (15 x 15 x 15) cm<super>3</super>\nRise in water level = ((volume )/area)=((15x15x15)/(20x15))cm=11.25cm.",,,
,11,"How many iron rods, each of length 7 m and diameter 2 cm can be made out of 0.88 cubic metre of iron.",400,800,1200,1600,a,"Volume of 1 rod = (22/7x1/100x1/100x7)cu.m=11/5000cu.m\nVolume of Iron = 0.88 cu.m\nNumber of rods = (0.88x5000/11)=400",,,
