question_number,test_id,question,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,paragrph,image,explanationImage
,13,"Which of the following is the inference from the passage?","Ayurvedic products are not available in the international markets.","The demand for Ayurvedic medicines is not limited by pharmaceutical validations.","The pharmaceutical ingredients of Ayurvedic medicines are more effective than those in any other medicines.","It is essential to protect the traditional knowledge of Ayurveda from piracy",b,"Despite the fact that growing popularity of Ayurveda …………………. standards prevalent in international market.","Despite the fact that growing popularity of Ayurveda has reached a stage from where we can look forward to offer it for healthcare of the people; evidences of safety, efficacy and quality are required to the extent that products and services meet the standards prevalent in international market. The challenge is to prove the pharmacodynamics and the bioavailability of Ayurvedic medicines and export them like pharmaceutical products. Scientific validation of therapeutic claims, development of Standard Treatment Protocols and protection of traditional knowledge of Ayurveda from piracy and misappropriation are important aspects to pursue.",,
,13,"The author speaks of poetry in the passage in order to","highlight the importance of prescribing poetry as a main text in the secondary education.","assert that the children do not find poetry as boredom.","to emphasise the benefits of learning through fingers.","to say that fingers do not get weary as the brain does.",c,"If I were a poet, I could write poetry on the possibilities of the five fingers. (Mind is not the only source for learning).","Our education has got to be revolutionized. The brain must be educated through the hand. If I were a poet, I could write poetry on the possibilities of the five fingers. Why should you think that the mind is everything and the hands and feet nothing? Those who do not train their hands, who go through the ordinary rut of education, lack ‘music’ in their life. All their faculties are not trained. Mere book knowledge does not interest the child so as to hold his attention fully. The brain gets weary of mere words, and the child’s mind begins to wander. The hand does the things it ought not to do, the eye sees the things it ought not to see, the ear hears the things it ought not to hear, and they do not do, see, or hear, respectively, what they ought to. They are not taught to make the right choice and so their education often proves their ruin. An education which does not teach us to discriminate between good and bad, to assimilate the one and eschew the other is a misnomer.",,
,13,"Following are the assumptions from the passage EXCEPT.","Shifting focus from brain to hands and feet would provide interesting learning.","Text books do not cater to revolutionize education.","Students must be given freedom to choose their own method of learning.","Real education also teaches virtues to be pursued in lives.",c,"They are not taught to make the right choice and so their education often proves their ruin. (This line implies that students must be taught what to choose but not how to learn. What if they learn something bad as that is implied in the next line).",,,
,13,"According to the passage, the system of progressive taxation of capital","does not ensue more industrial participation in terms of tax compliance.","is required to offer tax breaks and rebates to industries.","is not effective enough in ensuring equalities in labour compensation.","does not prompt macro economic benefits.",c,"It is time to examine the vexatious issue of inequalities through a different lens-view, namely of labour compensation and labour shares in national income. (The system does not resolve the vexatious issues).","It is time to examine the vexatious issue of inequalities through a different lens-view, namely of labour compensation and labour shares in national income. Policy considerations should focus on the tricky question of how to handle such inequalities and the government’s role in the same. Government regulations to protect the share of labour, as in India’s antiquated labour laws, would not work,leading either to greater unemployment (in the form of more contractual labour) or increased automation. A system of progressive taxation of capital would not work as well, leading only to greater tax evasion. On the one hand, we prescribe social nudges by the government in the form of tax breaks / rebates for firms which use variants of profit-sharing wage arrangements. These would not only help in reducing inequality, but also ensure better macroeconomic outcomes through generating regular private consumption and maintaining aggregate demand. On the other hand, government macropolicies may need to shift attention from growth and inflation towards employment and skill generation to mitigate the deleterious impact of globalization (especially financial globalization) and technical change on relative factor shares. Cash transfers, especially targeted at the rural wage earners may help in reducing the functional inequalities in India.",,
,13,"The most logical corollary from the passage is","The macro policies of the Government must suit the labour needs so that the latter can be saved by the impacts of globalization.","The disparities at all levels pertaining to labour incomes would reverse the typical benefits from globalization.","Growth oriented macro policies completely exclude the skill development of employees.","Regulating the monetary transactions to the rural employees would decrease the inequalities in their incomes.",b,"Refer to the first and last lines of the passage.",,,
,13,"According to the passage, which of the following is closer in meaning to ‘deleterious’?",Harmful,Hazardous,Unfavorable,Unconditional,c,"The unfavorable situation arises because of globalization.",,,
,13,"A Coach is filling out the starting lineup for his indoor soccer team. There are 10 boys on the team, and he must assign 6 starters to the following positions: 1 goalkeeper, 2 on defence, 2 in midfield, and 1 forward. Only 2 of the boys can play goalkeeper, and they cannot play any other positions. The other boys can each play any of the other positions. How many different groupings are possible?",60,210,2580,3360,d,"2C1 select 1 goalkeeper from 2 boys;\n8C2 select 2 defence from 8 boys (as 2 boys can only play goalkeeper 10-2=8);\n6C2 select 2 midfield from 6 boys (as 2 boys can only play goalkeeper and 2 we've already selected for defence 10-2-2=6);\n4C1 select 1 forward from 4 boys (again as 2 boys can play only goalkeeper, 4 we've already selected for defence and midfield 10-2-4=4)\nTotal numner of selection=2C1*8C2*6C2*4C1=3360",,,
,13,"In how many different ways can trhee letters be posted from seven different postboxes assuming no two letters can be posted from the same postbox?",210,120,343,128,b,"First letter could be sent from ANY of the seven postboxes - 7 (7 options);\nSecond letter could be sent from the SIX postboxes left - 6 (6 options);\nThird letter could be sent from the FIVE postboxes left - 5 (5 options);\nTotal # of ways =7*6*5=210",,,
,13,"In how many ways can 11 books on English and 9 books on French be placed in a row on a shelf so that two books on French may not be together?",88,220,110,154,b,"We have 11 English and 9 French books, no French books should be adjacent.\nImagine 11 English books in a row and empty slots like below:\n*E*E*E*E*E*E*E*E*E*E*E*\nNow if 9 French books would be placed in 12 empty slots, all French books will be separated by English books.\nSo we can "choose" 9 empty slots from 12 available for French books, which is 12C9=220.",,,
,13,"In how many different ways can the letters A,A,B,B,B,C,D,E be arranged if the letter C must be to the right of the letter D?",1680,2160,2520,3240,a,"We have 8 letters out of which A appears twice and B appears three time. Total number of permutation of these letters (without restriction) would be: 8! /2!3! = 3360\nNow, in half of these cases D will be to the right of C and in half of these cases to the left, hence the final answer would be 3360/2 = 1680",,,
,13,"A password to a certain database consists of digits that cannot be repeated.If the password is known to consist of at least 8 digits and it takes 12 seconds to try one combination , what is the amount of time , in minutes , necessary to guarantee access to database?",8!/5,8!/2, 8!,10!/2,d, "Password can have 8, 9 or 10 digits (more than 10 is not possible as per stem digits must be distinct).\nTotal # of passwords possible for 8 digits is P 8/10 =10!/2;\nTotal # of passwords possible for 9 digits is P 9/10 =10!;\nTotal # of passwords possible for 10 digits is .P 10/10 =10!\nTime needed to guarantee access to database is minutes.(10!/2 + 10! + 10!)* 1/5 = 10!/2 minutes",,,
,13,"In how many ways can the letters of the word PERMUTATIONS be arranged if there are always 4 letters between P and S",2419200,25401600, 1814400,1926300,b,"There are 12 letters in the word "PERMUTATIONS", out of which T is repeated twice.\n1. Choosing 4 letters out of 10 (12-2(P and S)=10) to place between P and S = 10C4 = 210;\n2. Permutation of the letters P ans S (PXXXXS or SXXXXP) = 2! =2;\n3. Permutation of the 4 letters between P and S = 4! =24;\n4. Permutations of the 7 units {P(S)XXXXS(P)}{X}{X}{X}{X}{X}{X} = 7! = 5040;\n5. We should divide multiplication of the above 4 numbers by 2! as there is repeated T.\nHence: (10C4*2!*4!*7!)/2! = 25,401,600",,,
,13,"In how many ways 8 different tickets can be distributed between Jane and Bill if each is to receive any even number of tickets and all 8 tickets to be distributed.","From 2 to 6 inclusive.",From 98 to 102 inclusive.,From 122 to 126 inclusive,"From 128 to 132 inclusive",d,"Tickets can be distributed in the following ways:\n{8,0} - 8C8=1\n{6,2} - 8C6*2C2=28\n{4,4} - 8C4*4C4=70\n{2,6} - 8C2*6C6=28\n{0,8} - 8C8=1\nTotal # of ways=1+28+70+28+1=128",,,
,13,"An insect has one shoe and one sock for each of its twelve legs. In how many different orders can the insect put on its socks and shoes, assuming that, on each leg, the sock must be put on before the shoe?" ,2<super>12</super>*12!,24!/12!<super>2</super>,24!/2<super>12</super>,24!, c,"Nothing like this will ever occur at real test, as this question is beyond the scope of GMAT. So this question is just for practice.\nNOTE that each sock and shoe is "assigned" to a specific leg.\nImagine situation with no restriction, meaning no need to put the socks before the shoes. In this case the number of ways insect can put 24 items would be 24!. As we can choose to put any of 24 items first, then 23 items left, then 22 and so on.\nNext step. On EACH leg we can put either sock OR shoe first. But for EACH leg from 12, only one order is correct WITH restriction: sock first then shoe. For one leg chances of correct order is 1/2, for two legs 1/2^2, similarly for 12 legs chances of correct order would 1/2^12.\nSo we get that for the total # of ways, WITH NO RESTRICTION, which is 24!, only 1/2^12 is good WITH RESTRICTION.\nSo the final answer is 24!/2^12.",,,
,13,"How many words, with or without meaning can be made from the letters of the word MONDAY, assuming that no letter is repeated, if 4 letters are used at a time?",360,720,240,120,a,"Choosing 4 letters out of 6 (distinct) letters to form the word = 6C4=15;\nPermutations of these 4 letters = 4!=24;\nTotal # of words possible = 15*24= 360",,,
,13,"It can be assumed from the passage that","Increasing the fund allocation would create better sanitation provisions for marginalized people.","The coverage of sanitation services can be extended with the support of people.","The allocation of fund to sanitation services have never been misused for other needs.","Drinking water and sanitation can be made better only by increasing the government’s expenditure on them",d,"Refer to the first and last lines of the passage. The key concern of the passage is providing drinking water and sanitation.","A key concern with rural drinking water and sanitation services has been the low magnitude of public spending on these services. Inadequate budgetary resources for sanitation have affected both the quality and coverage of these services. Given the high dependence of vulnerable sections (SC, ST, women etc) on public provisioning of these services, inadequate public spending on them is likely to have a disproportionately adverse impact on these sections of society. The allocations to the Ministry of Drinking Water and Sanitation for the 11th and 12th Plan Periods, i.e. Rs. 45,740 crore and Rs. 98,015 crore respectively, were 21 per cent and 41 per cent lower than what had been proposed by the Ministry to the Planning Commission. The Union Government expenditure on rural water and sanitation was less than 1 per cent of the Union Budget during the 11th Plan period (except in 2007- 08),and has remained in the same range in the 12th Plan period so far.",,
,13,"The tone of the author in the passage is","Acerbic",Critical,"Controversial","Compelling",b,,,,
,13,"The focus of the passage is","to discuss the need for analyzing the benefits of FDI.","to analyse the how well FDI can contribute to the economic model of India and China.","to justify the India’s stand in embracing FDI for economic growth.","to point out the reason why India and China are the major destinations of foreign investment.",a,"However, conversely there are empirical studies which indicate the FDI presence as…………","Foreign Direct investment (FDI) acts as a catalyst for growth of any economy. Nowadays, F D I plays a pivotal role in development of the economy as indicated by several studies (Alfaro, Chandra, KalemliOzcan, and Sayek (2004)). However, conversely there are empirical studies which indicate the FDI presence as inefficient . Implicitly, the impact of FDI on a country depends upon the nature of economy of the country. Our paper examines two giant developing nations – India and China, which have a high FDI flow. In this way, we analyze the determinants of FDI in India and China through econometric analysis. The reason for selecting India and China is, that these economies are primarily the most attractive destinations for FDI inflows in the whole world (UNCTAD Report, 2008). And according to the latest report of fDI intelligence (2014), China and India are amongst the top five destinations of foreign capital investment. We aim at identifying the best-suited model of capital inflows with special reference to FDI, affecting the growth of Chinese and Indian economies. In order to reach the best suited model, various models with different variables need to be examined and tested so as to determine when and where these are Determinants of FDI best suited in. FDI and FII are the two components of capital inflows in any country and these have become the drivers of international economic integration and stimulation. There are few fast growing economies like Singapore, China and Korea that have registered incredible growth due to the onset of FDI and FII.",,
,13,"It can be assumed from the passage","that China would gain huge capital benefits through FDI in next 5 years.","that India may have to adjust its economic model to get benefitted from FDI.","China and India are the fast growing economies because of the amount of FDI they are attracting now.","China has the best suited economic model for accommodating more FDI.",b,"In order to reach the best suited model, various models with different variables need to be examined",,,
,13,"According to the passage, elections and cricket matches","are part of the emotions of all Indians.","never keep our people dull.","do not have the same span of emotions.","have many complexities.",c,"While the most absorbing cricket match may last a day, elections can hold the attention of the society for almost two months","Without the Cricket and the Elections, India would be a dull country. Their grip on the collective consciousness of the Indian society is something that has to be seen to be believed! Mercifully for the billion-strong Indians, cricket matches and elections keep happening periodically, oxygenating and energizing the Indian society from time to time. While the most absorbing cricket match may last a day, elections can hold the attention of the society for almost two months. If one were to name any one characteristic of elections in India, it would be 'intensity' with a capital 'I'. Hype, hope, passion, anger, anxiety, noise and happiness - all are inseparable emotions of any election in India. The complexity of managing such a wide range of human emotions and action often poses tremendous challenges to the election managers. Experience of conducting elections is indeed transformational for an official who has worked in the election process in India.",,
,13,"It can be assumed from the passage that","The mental balance of the people is very low when they usually wait for election results.","Conducting elections is more challenging than organizing cricket matches.","Election officers are always good at managing the emotions of the people.","Indians are bent upon a common passion of cricket and elections.",b,"The complexity of managing such a wide range of human emotions and action…",,,
,13,"In how many different ways can 4 physics, 2 math and 3 chemistry books be arranged in a row so that all books of the same branch are together?",1242,1728,1484,1734,b,"There are three branches, three units of books: {physics}{math}{chemistry} - aranging branches 3!;\nArranging the books within the branches:\nphysics - 4!;\nmath - 2!;\nchemistry - 3!;\nTotal: 3!*4!*2!*3!",,,
