q,test_id,question,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,paragrph,image,explanationImage
,14,"The most logical inference from the passage is that  ","digital initiatives have changed the outlook of people when it comes to governance. ","huge economic development is not possible without finding a way to make all people participate in different schemes.  ","people are now being hugely benefitted by many schemes introduced on the digital platform.  ","democratic approach to improve the lives of the citizens by creating financial inclusion is crucial for a country like India.  ",b,"Refer to the term democratization in the last part of the paragraph. (their implications for the country and its citizens, the associated concerns that emanate from this phenomenon and most importantly, the efforts that are essential to making the ecosystem safe and secure)","As India heads towards becoming a trillion dollar digital economy, it becomes imperative to take a look at the different dimensions which have been spawned by digitization, their implications for the country and its citizens, the associated concerns that emanate from this phenomenon and most importantly, the efforts that are essential to making the ecosystem safe and secure. The transformation from the physical to digital is conspicuous in several realms. Be it the way we interface with each other or the way public services get administered or how financial transactions get effected, digital seems to be the way to go for government, businesses and the general public. India and its citizens are now truly plugged into the global ‘Digital Village’, and actually shaping the contours of democratization of technology, and harnessing digital for Inclusion.",,
,14,"The conclusion of the passage is most likely to endorse","the utility of technology in making the lives of people better.  ","the use of digital portal to connect all people with the government. ","the importance of democracy in making the country an economic super power. ","the great response from citizens for digital village.  ",b,"‘Digital Village’, and actually shaping the contours of democratization of technology, and harnessing digital for Inclusion. ",,,
,14,"It can be safely inferred from the passage","The dominance of women in the workplace has shown that they have overcome the social obstacles.  ","The presence of women in various disciplines has confirmed their capacity to resolve even difficult problems.  ","The women entrepreneurs are creating more jobs for many jobless women.  ","Women have the capacity to sign a deal with an attractive bid.",b,"The more technical and complex the work, the more likely we are to find an increasing number of women in the same…….. women’s bargaining power in both private and public life is steadily increasing.","In the workplace today, every fourth worker in India is a woman. The more technical and complex the work, the more likely we are to find an increasing number of women in the same. One third of all certified engineers are now women and over three fourths of all health workers at primary level are women. It is estimated that almost one-third of all certified medical researchers, banking employees, IT workers and chartered accountants are women. In a country bursting with entrepreneurial spirit, today almost every fifth entrepreneur is a woman. With their increasing participation in a variety of fields, women’s bargaining power in both private and public life is steadily increasing. ",,
,14,"The line (The more technical ……….. increasing number of women in the same) conveys that  ","Complex tasks once used to be done by only men.  ","Technical subjects are easily learnt by women.  ","Women can easily overcome social impediments.  ","Women are able to come up to socially unimaginable level.",d,"The given line explains that women have broken the glass ceiling.",,,
,14,"On a road three consecutive traffic lights change after 40, 48 and 56 seconds respectively. If the lights are first switched on at 10:00 AM sharp, at what time will they change simultaneously?",10.35m,10.28am,10.40am,10.43am,b,"LCM of 40,48,56=1680sec \nHence, the lights will change simultaneously after 28 minutes.",,,
,14,"Ram, Saleem and John start at same time, same point and in same direction to run around a circular ground. Ram completes a round in 250 seconds, Saleem in 300 seconds and John in 150 seconds. Find after what time will they meet again at the starting point? ",30 min,25 min,20 min,15 min,b,"L.C.M. of 250, 300 and 150 = 1500 sec\nDividing 1500 by 60 we get 25, which mean 25 minutes.\nJohn, Smith and Kate meet after 25 minutes." ,,,
,14,"A rectangular courtyard 4.55 meters long and 5.25 meters wide is paved exactly with square tiles of same size. Find the largest size of the tile used for this purpose?", 25 cm,45 cm,21 cm,35 cm,d,"Here, we are asked to find the largest size of tile. Therefore, calculate H.C.F. \nCovert numbers without decimal places i.e 455 cm and 525 cm\n Find the H.C.F. of 455 and 525\nH.C.F. of 455 and 525 = 35 cm\nHence, the largest size of the tile is 35 cm.",,,
,14,"There are 2 mixtures. Mixture P contains A, B and C in ratio 4 : 3 : 2. Mixture Q contains A and B in the ratio 1 : 4. If 4 litres of mixture P is mixed with 2 litres of mixture Q, then resultant mixture contains how much part of mixture C?",1/27,4/19,2/31,2/19,a,"C in 1st = 2/9, C in 2nd = 0 \nTotal mixture = 4+2 = 6 l \nSo C in final mixture = (2/9)/6 = 1/27",,,
,14,"A 84 litres mixture contains A and B in ratio 3 : 4. 14 litres of this mixture is taken out and replaced by 10 litres of B. The resultant mixture will contain how much percent of A?", 52.2% ,46.7%,67.5%,37.5%,d,"Total mixture = 84l \nSo A in resultant mixture = 36 – 3/7 * 14 = 30l \nand B in resultant mixture = 48 – 4/7 * 14 + 10 = 50l\nSo final ratio of A and B = 3 : 5 \nSo % of A in final mixture = 3/8 * 100 = 37.5%",,,
,14,"The respective ratio between present age of Manoj and Wasim is 3 : 11. Wasim is 12 years younger than Rehana. Rehana‟s age after 7 years will be 85 years. What is the present age of Manoj‟s father who is 25 years older than Manoj ? ",43 years,67 years,45 years,69 years,a,"Rehana's present age = 85 - 7 = 78 years\nWasim‟s present age = 78 - 12 = 66 years\nManoj‟s present age = years\nManoj‟s father‟s present age = 25 + 18 = 43 years",,,
,14,"According to the passage, the successive governments must have thought","that solutions could not be arrived for solving the issues in the socio economic inclusion only with the existing laws and provisions.  ","that poor must inculcate the habit of savings in banks. ","that introducing more and more schemes would ensure economic inclusion of the weaker class.  ","that the following constitutional provisions ,without any changes is imperative. ",a,"The successive Governments in India have also made essential amendments to the constitution and brought","The framers of the Indian Constitution have thought well in advance and ensured to provide adequate and mandatory provisions in the Constitution of India to provide justice in all aspects of life, equality in status, social security and economic/financial safeguards to the weaker sections of the society. The successive governments have recognised the social and economic imperatives for broader financial inclusion and have made significant policy changes from time to time by finding innovative ways to bring the poor at par with the rest of the society. The successive Governments in India have also made essential amendments to the constitution and brought legislative framework to ensure social and economic safeguards to the deprived sections of the society. As an initial step banks have been nationalized, provisions have been made for priority sector lending requirements for banks; lead bank scheme was introduced to ensure government policy initiatives to get shape in action. Regional Rural Banks (RRBs) have been established to provide last mile connection to the people in rural areas and have banking facilities at their door steps, the concept of service area approach have been brought in. SelfHelp Groups- (SHGs) bank linkage programmes were introduced to give Financial inclusion has become a top policy priority of the Central Government to ensure egalitarian society, as the substantial population of India lives with economic insecurity. Setting steps towards universal financial inclusion is both a national commitment as well as a public policy priority for India a platform for needy people to come up with business and innovative ideas to self sustain and engage in gainful economic activities, etc. multiple steps have been taken by the Reserve Bank of India (RBI) over the years to increase access to the poorer segments of society. ",,
,14,"The main idea of the passage is  about","Providing protection to the people to freely pursue their economic and social interests.  ","Bringing in new ideas to change and improve the lives of the poor.  ","Assuring equality to the suppressed class in the society.  ","Framing financially inclusive policies for the welfare of the poor.",a,"Refer to the first and last lines of the passage",,,
,14,"According to the passage, the phrase ‘ social capital’ refers to","the integrity among the people to achieve a common goal. ","the strength shown by people to gain empowerment.  ","the conducive environment in the society for a better living.  ","the support received from a specific community in the society. ",c,"Social capital refers to creating resources for the conducive living of marginalized people.","An emerging economy needs inclusivity in its programmes and schemes to empower each and every section of society. In the past seven decades, India has strategically initiated interventions to create economic empowerment opportunities for every stratum; yet there remains much scope for initiating programmes to uplift vulnerable sections of society who lack vital social capital to move up the social and economic ladder. Very often minority communities, persons with disabilities and women face alienation due to social stigma. The physically challenged and differently abled sections of our population are also sometimes subjected to unworthy living conditions. The state of disparities found among different social groups is growing. If the vulnerable section of this population is disaggregated further in terms of gender and disability, the numbers are distressing. Despite several years of liberalization and economic progress, achieving equal access to resources and opportunities and the state of inclusive development remains an unaccomplished goal.  ",,
,14,It can be inferred from the passage that the vulnerable section of the society,has been benefitted by the initiatives of the government that would uplift their lives. ,is still desperate and not able to find real means to improve their lives. ,is yet to be completely liberalized from the social inequalities by the aides of government  ,is living in a highly distressing conditions.,c,"In the past seven decades, India has strategically initiated interventions to create economic empowerment",,,
,14,"It can be assumed from the passage ","Aged people can advise anybody, even on strategic issues. ","Aged people are also good thinkers.  ","A person can live long if he/she keeps solving problems. ","Mental activities are essential for old people. ",c,"that mental activity makes neurons sprout new dendrites which will establish connections with other neurons. ","The concept of ‘productive ageing’ is premised on solid scientific evidence that ageing is keyed to the level of vigour of the body and continuous interaction between levels of body activity and levels of mental activity. Age related deterioration in most mental functions can actually be reversed. ‘Cenegenics’ is the latest upcoming practical panacea, in fact a raging fad in cities such as Las Vegas that ensures its practitioner ‘Amortality’ (Time, April 25, 2011). Researches in gerontology and neuropsychology show that mental activity makes neurons sprout new dendrites which will establish connections with other neurons. The dendrites shrink when the mind is idle. To put it simply, a person who stops solving problems arrives at a point where he cannot solve problems. ",,
,14,"It can be inferred from the passage","Bodily changes can be stopped for old people with neuro therapies.  ","A robust mental neurological connection is necessary to control one’s ageing. ","Mental activities are controlled by bodily changes. ","Many Americans are now being spared from the problems of ageing.",b,"it is given in the passage it depends on how one uses the mind. ",,,
,14,"Mr. Pandit owned 950 gold coins all of which he distributed amongst his three daughters Lalita, Amita and Neeta. Lalita gave 25 gold coins to her husband, Amita donated 15 gold coins and Neeta made jewellery out of 30 gold coins. The new respective ratio of the coins left with them was 20 : 73 : 83. How many gold coins did Amita receive from Mr. Pandit ? ",380,415,400,350,a,"20x + 73x + 83x = 950 - 25 - 15 – 30\n	176x = 880\n	X= 880/176 = 5\n	Number of coins got by Amita = 73x + 15\n= 73 × 5 + 15 = 380",,,
,14,"Sam purchased an item for Rs 7200 and sold it at a loss of 5% , from that money he purchased another item and sold it at a gain of 5% what is his over all gain/loss?  ",Rs 18 loss,Rs36 loss,Rs18 gain,Rs36 gain,a,"7200*(95/100)*150/100==>7182 \nThen 7200-7182=18 loss",,,
,14,"The price of a car is Rs. 6,50,000. It was insured for 70% of its price. The car got completely damaged and the insurance company paid 80% of the insured amount. What is the price of the difference between the price of the car and the amount of insurance received?  "," Rs2,86,000","Rs3,42,000","Rs2,40,000","Rs2,85,000",a,"Total value = 100% \nCar was insured to 70% of its price \nInsurance company paid 80% of the insurance.\nThen 100*70/100*80/100=56%\nDifference% is 100-56=44%\n6,50,000*44/100=2,86,000.",,,
,14,"In a zoo , the zoo authority announces 40% discount on every on every ticket which costs 50 paise in order to attract more visitors. For this reason, sale off ticket increase by 50%. Find the percentage increase in the number of visitors.",90%,150%,100%,98%,b,"Let the number of visitors be 100. \nTotal revenue = 0.50 * 100 = Rs.50 \nNew price = 0.50 *(60/100) = 30 paise \nNew revenue = 50*(150/100) = Rs.75 \nNumber of visitors = 75/0.30 = 250 \n% change in number = [(250 -100)/100]*100 = 150%",,,
,14,"There are two articles and the sum of cost prices of these articles is Rs. 500. One of them was sold at a profit of 20% and another at a loss of 20%. Besides if the selling prices of both the articles were same, find the loss.",Rs.40,Rs.32,Rs.25,Rs.20,d,"x*(120/100) = (500-x)(80/100) \n=> x = 200 \nCP of article sold at profit = 200 \nCP of article sold at loss = 300 \nCommon SP = 300* 80/100 or = 200* 120/100 = 240 \nLoss = CP – SP = 500 – (2*240)= Rs.20",,,
,14,"A businessman sells a commodity at 20% profit. If he had bought it 20% less and sold it for Rs6 less, then he would have gained 25%. What is the cost price of the commodity?",Rs. 10,Rs. 25,Rs. 40,Rs. 30,d,"20% profit = 1/5.\nSo CP = 5, SP = 5+1 = 6 \nNow make CP 20% less, CP becomes = 80/100 * 5 = 4,\nNow there is 25% profit So SP becomes 5 \nOriginal SP = 6, \nfinal = 5. \nDifference is 1 \nSo 1 == 6 [Rs 6 less]\nSo CP = 5 == 30",,,
,14,"A shopkeeper marks up his goods by 30% and then gives a discount of 30%. Besides he cheats both his supplier and customer by 100 g, i.e., he takes 1100 g from his supplier and sells only 900 g to his customer. What is his net profit percentage? (Rounded off to two decimal points) ",12.33,13.65,11.22,10.45,c,"Loss is -30+30-(30*30/100)=9%loss\nProfit =(1100-900)=(200/900)*100=200/9%\nProfit % is -9 +200/9 –(9*200/9/100)=101/9=11.22",,,
,14,"Incomes of two companies A and B are in the ratio of 2:3. Had the income of company A been more by Rs 20 lakh, the ratio of their incomes would have been 10 : 9. What is the income of company B?  ",Rs 80 lakh,Rs 45 lakh,Rs 52 lakh,Rs 46 lakh,b,"(2x+20)/3x=10/9 \n18x+180=30x \nx=15. Then B=3*15=45Lakhs",,,
,14,"In a partnership , P invests 1/2 of the capital for 1/2 of the time , Q invests 1/6 of the capital for 1/6 of the time and R , the rest of the capital for the whole time. What is the share of R in the profit Rs. 6600.? ",Rs3600,Rs1500,Rs2000,Rs3000,a,"If P invest x/2 Rs for y/2 month and Q invest x/6 for y/6 month \nThen R=x-x/2-x/6=x/3 for y month. \nThen ratio become x/2*y/2 :x/6*y/6 :x/3*y ==>1/4:1/36:1/3==>9:1:12\nThen R ‘s share is 6600*12/22= Rs 3600" ,,,
,14,"A bank offers 5% compound interest calculated on half-yearly basis. A customer deposits Rs. 1600 each on 1st January and 1st July of a year. At the end of the year, the amount he would have gained by way of interest is:  ",121,160,240,260,a,"amount= p[1+(R/2)/100]^2n here n is 1 year \nso amount = 1600[1+(5/2)/100]^2 \n=1600[1+(5/200)]^2 =1681. \namount of money deposited on july \namount=p[1+(R/2)/100]^2n n=1/2 yr\n=1600[1+(5/200)]\n=1640. \nadd both amounts \n1681+1640=3321\n1600 twice the customer deposited 1600*2=3200 \n3321-3200=121",,,
,14,"A sum of Rs. 550 was taken as a loan. This is to be paid back in two equal installments. If the rate of interest be 20% compounded annually, then the value of each installment is :  ",Rs360,Rs280,Rs250,Rs320,a,"Let x = equal installment at the end of one year( rate% annually) . \nNow 1st year, P =550, \nInterest = (550*20*1)/100 = 110. \nNow, at the beginning of 2nd year, P =550 + 110 – x \nInterest at the end of 2nd year, = [(660 – X) *20*1]/100 = 132 –x/5.\nHence,total installment, 2x = 550 + 110 + 132 – x/5 \n2x + x/5= 792\nx = 360.",,,
,14,"If the simple interest on a certain sum of money is 4/25 of the sum and the rate per cent equals the number years, then the rate of interest per annum is:  ",4%,5%,8%,10%,a,"Let the principal be Rs x. \nThen the SI =4/25x \nRate of interest = Time\nr= (100*4/25x)/ x*r\nr2 =400/25\nr=20/5=4%",,,
,14,"A borrows 5000 at simple interest. At the end of 3 years, he again borrows 3000 and finally pays 2340 as interest after 6 years from the time he made the first borrowing. Find the rate of interest per annum",4%,5.5%,6%,4.5%,c,"Let r be the rate of interest \n5000*3x/100 + 8000*3x/100 = 2340 \n150x + 240x = 2340 \nX = 6",,,
,14,"The average age of a family of 6 members is 20 years. If the age of the youngest member be 5 years, the average age of the family at the birth of the youngest member was?",19 yrs,22 yrs,16 yrs,21 yrs,a,"Total present age of the family (6*20) = 120 yrs \nTotal age of the family 6 years ago = (120 – 6*5) = 90 years\nAt that time, Total members in the family = 5 \nTherefore Average age at that time = 90/5 = 19 yrs" ,,,
,14,"According to the passage, empowerment is used to achieve ","Social, economic and political status. ","Social, personal, economic and political status  ","Social, administrative and political status. ","None of the above.",b,"All the four are mentioned in the passage","Empowerment is considered a contested concept, and used in different contexts to denote different kinds of social and psychological changes. In its much wider connotation, the concept has been defined as ‘the expansion of people’s capabilities and choices, the ability to exercise choice based on freedom from hunger, want and deprivation; and the opportunity to participate in, or endorse, decisions that affect their lives’. The idea of empowerment is invoked in many contexts like human rights, economic insecurity, and disadvantaged groups and about their capacity building, and also in addressing the problems of rights. Empowerment involves two important aspects: developing capabilities, negotiating skills and the ability of people on the one hand; and obtaining authority to make decisions or participate in decision making on affairs that affect their lives on the other. Theoretically, empowerment is a process that helps people to gain control over their lives through raising awareness, taking action and working in order to exercise greater control. Empowerment necessarily demands political inclusion in the institutions of decision-making and a change in the existing power relations, where certain sections of society remain outside the decision-making arena due to their specific historical sociocultural experiences. In a democratic political structure, empowerment, therefore, entails proper and effective representation in the institutions of governance, so that people can voice their concerns and participate in decision making on matters that affect their lives. Political representation of marginalised or excluded groups in the institutions of governance will provide them with substantial power to change the rules of the game and also to negotiate the power relations with the privileged sections of society. Political empowerment is also regarded as political incorporation (inclusion), meaning the extent to which a group has achieved significant representation and influence in political decision making.",,
,14," All of the following can be inferred from the passage EXCEPT ","Empowerment is not a definitive ideology used only in specific domain. ","People could gain advantages at all levels if they are aware of the means to empower themselves.  ","Political representation helps people get the privilege of taking decisions.  ","Political representation is essential to amend the rules, favoring rich politicians.   ",d,"Political representation is a means of empowerment. ",,,
,14,"Which of the following is not suggested in the passage? ","The Government has taken initiatives to make youth skilled. ","The average age of youth requiring jobs varies from state to state.  ","Technology can make all youth entrepreneurs.  ","Minimum wage assurance is a part of entrepreneurial initiatives.",c,"it’s a over generalization. ","Swift technological advances in digitization and data analytics are reshaping human development, supercharging business performance, creating new wave of job opportunities and entrepreneurship for youth. Skilling youth in new tasks and jobs is an emerging strategy for realizing the full potential of our young workforce. With the nation’s average age of 29, skilling youth at scale with speed and standards is the key. Our country has significant disparity in demographic profile of our youth population. There is a higher median age in the range of 29-31 years in southern states. States like Uttar Pradesh, Rajasthan and Bihar have a low median age of 20-22 years amounting to a rising working age population. Thus, the paradigms of skilling youth require different approaches for access and relevance. As per OECD Economic Survey: India 2017, over 30 per cent of Indian youth in the age group of 15-29 are not in employment, education or training (NEET). This is more than double the OECD average. The Government is making stupendous efforts for mainstreaming NEET youth. National Policy for Skill Development and Entrepreneurship has the potential to meet aspirations of youth, addressing inclusivity by leveraging technology. Measures like reducing administrative requirements for complying with existing labour laws are a welcome step. Schemes like National Apprenticeship Promotion Scheme (NAPS), statutory minimum wages, contract employment and various financial incentives to entrepreneurs are some of the strategic initiatives. ",,
,14,"The objective of the passage is to","discuss the probability of new method and its impact on Government’s decision in bringing up employed youth.","describe the various steps taken by the Government to get skilled youth. ","explain the economic survey and its impact on Government’s decision in providing employment to youth.  ","discuss the initiatives taken by the Government to provide opportunities to entrepreneurs.",a,"Refer to the first and last lines of the passage.",,,
