question_id,test_id,Questions,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,paragraph,image,explanationImage
,6,"Consider the following statements regarding Battle of Plassey:\n1. One of the reasons for the beginning of this battle was Sirajuddaulah’s capture of the British warehouses, goods and ships at Kassim bazaar and then his marching towards Calcutta\n2. His whole army truthfully fought against the Britishers\n3. Robert clive valiantly led the British troops in this battle and won it\nWhich of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",C,"Class – 8-  – Book Name – Our past-3– Page No. 13\nExplanation:\n After negotiations failed, the Nawab marched with 30,000 soldiers to the English factory at Kassimbazar, captured the Company officials, locked the warehouse, disarmed all Englishmen, and blockaded English ships. Then he marched to Calcutta to establish control over the Company’s fort there On hearing the news of the fall of Calcutta, Company officials in Madras sent forces under the command of Robert Clive, reinforced by naval fleets. Prolonged negotiations with the Nawab followed. Finally, in 1757,Robert Clive led the Company’s army against Sirajuddaulah at Plassey. One of the main reasons for the defeat of the Nawab was that the forces led by Mir Jafar, one of Sirajuddaulah’s commanders, never fought the battle.",,,
,6,"In 1817, James Mill, a Scottish economist and political philosopher, published a massive three-volume work, A History of British India. Consider the following about this work\n1. In this he divided Indian history into three periods – Hindu, Muslim and British\n2. Mill thought that all Asian societies were at a higher level of civilisation than Europe.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A ,"Class – 8-  – Book Name – Our past-3– Page No. 3\nExplanation:\n In 1817, James Mill, a Scottish economist and politicalphilosopher, published a massive three-volume work,A History of British India. In this he divided Indianhistory into three periods – Hindu, Muslim and British.This periodisation came to be widely accepted Mill thought that all Asian societies were at a lower level of civilisation than Europe. According to his telling of history, before the British came to India, Hindu and Muslim despots ruled the country. Religious intolerance, caste taboos and superstitious practices dominated social life. British rule, Mill felt, could civilise India. ",,,
,6,"In 1765 the Mughal emperor appointed the East India Company as the Diwan of the provinces of Bengal. Which of the following were its consequences?\n1. The outflow of gold from Britain entirely stopped to the Company\n2. Company officials amassed illegal wealth\nSelect the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 8-  – Book Name – Our past-3– Page No. 14\nExplanation:\n The outflow of gold from Britains lowed after the Battle of Plassey, and entirely stopped after the assumption of Diwani.\n After the Battle of Plassey the actual nawabs of Bengal were forced to give land and vast sums of money as personal gifts to Company officials. Robert Clive himself amassed a fortune in India.",,,
,6,"Consider the following statements regarding one of the territorial expansionist policy “paramountcy”\n1. Lord Dalhousie initiated it in India\n2. Company claimed that its authority was paramount or supreme, hence its power was greater than that of Indian states.\nWhich of the statements given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 8 -  – Book Name – Our past-3– Page No. 18\nExplanation:\n Company pursued an aggressive policy of territorial expansion. Under Lord Hastings (Governor General from 1813 to 1823) a new policy of “paramountcy” was initiated. Now the Company claimed that its authority was paramount or supreme, hence its power was greater than that of Indian states. In order to protect its interests it was justified in annexing or threatening to annex any Indian kingdom. This view continued to guide later British policies as well",,,
,6,"Consider the following statements:\n1. After the 1857 sepoy rebellion, the Governor-General of India was given the title of Viceroy\n2. The Viceroy represented the direct takeover of Indian affairs by the Crown\n3. After the 1857 revolt, all Indian rulers were assured that their territories would never be annexed in future\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 8 -  – Book Name – Our past-3– Page No. 61\nExplanation:\n The British Parliament passed a new Act in 1858and transferred the powers of the East India Company to the British Crown in order to ensure a more responsible management of Indian affairs. A member of the British Cabinet was appointed Secretary of State for India and made responsible for all matters related to the governance of India. He was given a council to advise him, called the India Council. The Governor-General of India was given the title of Viceroy, that is, a personal representative of the Crown. Through these measures the British government accepted direct responsibility for ruling India.\n All ruling chiefs of the country were assured that their territory would never be annexed in future. They were allowed to pass on their kingdoms to their heirs, including adopted sons. However, they were made to acknowledge the British Queen as their Sovereign Paramount. Thus the Indian rulers were to hold their kingdoms as subordinates of the British Crown.",,,
,6,"Consider the following statements regarding East India Company:\n1. According to a charter acquired from the ruler of England, Queen Elizabeth I, no other trading group in England could compete with the East India Company.\n2. The East India Company was a mercantile trading company which made profit primarily by excluding competition, so that they could buy cheap and sell dear.\n3.There was no competition from other European powers also\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"Class – 8 -  – Book Name – Our past-3– Page No. 10\nExplanation:\n In 1600, the East India Company acquired a charter from the ruler of England, Queen Elizabeth I, granting it the sole right to trade with the East. This meant that no other trading group in England could compete with the East India Company. With this charter the Company could venture across the oceans, looking for new lands from which it could buy goods at a cheap price, and carry them back to Europe to sell at higher prices. The Company did not have to fear competition from other English trading companies. Mercantile trading companies in those days made profit primarily by excluding competition, so that they could buy cheap and sell dear.The royal charter, however, could not prevent other European powers from entering the Eastern markets. By the time the first English ships sailed down the west coast of Africa, round the Cape of Good Hope, and crossed the Indian Ocean, the Portuguese had already established their presence in the western coast of India, and had their base in Goa. In fact, it was Vascoda Gama, a Portuguese explorer, who had discovered this sea route to India in 1498. By the early seventeenth century, the Dutch too were exploring the possibilities of trade in the Indian Ocean. Soon the French traders arrived on the scene.",,,
,6,"The British were furious against Tipu Sultan. Consider the below reasons\n1. He controlled trade at Malabar where the Company had stakes\n2. He stopped the export of precious items and disallowed local merchants from trading with the Company\n3. He established close relationship with the French\nWhich of the above given reasons is/are correct?",1 and 2 only,2 and 3 only,2 only,"1, 2 and 3",D,"Class – 8 -  – Book Name – Our past-3– Page No. 16\nExplanation:\n Mysore controlled the profitable trade of the Malabar coast where the Company purchased pepper and cardamom. In1785 Tipu Sultan stopped the export of sandalwood, pepper and cardamom through the ports of his kingdom, and disallowed local merchants from trading with the Company. He also established a close relationship with the French in India, and modernized his army with their help. The British were furious. They saw Haidar and Tipu as ambitious, arrogant and dangerous – rulers who had to be controlled and crushed",,,
,6,"Consider the following statements regarding Ryotwari settlement in British India\n1. It was implemented in Bengal presidency of British India\n2. The Settlement had to be made directly with cultivators\n3. It was developed by Thomas munro\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",B,"Class – 8 - Book Name – Our past-3– Page No. 29\nExplanation:\n In the British territories in the south there was a similar move away from the idea of Permanent Settlement. The new system that was devised came to be known as the ryotwari (or ryotwari ). It was tried on a small scale by Captain Alexander Read in some of the areas that were taken over by the Company after the wars with TipuSultan. Subsequently developed by Thomas Munro, this system was gradually extended all over south India",,,
,6,"Consider the following statements regarding forest law in British period:\n1. The British declared that forests were state property.\n2. Some forests were classified as Reserved Forests in which forest dwellers have extended rights\n3. The revolt of Son gram Sangma in 1906 in Assam was against forest rules of British\nWhich of the statements given above is/are correct?",1 and 2 Only,2 and 3 Only,1 and 3 Only," 1, 2 and 3",C,"Class – 8 -  – Book Name – Our past-3– Page No. 45\nExplanation:\n The British extended their control over all forests and declared that forests were state property. Some forests were classified as Reserved Forests for they produced timber which the British wanted. In these forests people were not allowed to move freely, practisejhum cultivation, collect fruits, or hunt animals.\n Many tribal groups reacted against the colonial forest laws. They disobeyed the new rules, continued with practices that were declared illegal, and at times rose in open rebellion. Such was the revolt of Songram Sangma in 1906 in Assam, and the forest satyagraha of the 1930s in the Central Provinces.",,,
,6,"Consider the following statements regarding Education system in British India\n1. Orientalists felt that institutions shouldbe set up to encourage the study of ancient Indian textsand teach Sanskrit and Persian literature and poetry\n2. Thomas BabingtonMacaulay was a orientalist\n3. Following Macaulay’s minute, the English EducationAct of 1835 was introduced which encouraged orientalism.\nWhich of the statements given above is/are correct?",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"Class – 8 -  – Book Name – Our past-3– Page No. 98\nExplanation:\n Orientalists felt that institutions should be set up to encourage the study of ancient Indian texts and teach Sanskrit and Persian literature and poetry\n By the 1830s the attack on the Orientalists became sharper. One of the most outspoken and influential of such critics of the time was Thomas Babington Macaulay. He saw India as an uncivilised country that needed to be civilised. No branch of Eastern knowledge, according to him could be compared to what England had produced.\n Following Macaulay’s minute, the English Education Act of 1835 was introduced. The decision was to make English the medium of instruction for higher education, and to stop the promotion of Oriental institutions like the Calcutta Madrasa and Benaras Sanskrit College. These institutions were seen as “temples of darkness that were falling of themselves into decay”. English textbooks now began to be produced for schools ",,,
