question_id,test_id,Questions,Option A,Option B,Option C,Option D,Answer,Explanation,image,explanationImage
,9,"Consider the following statements regarding developments in Mughal administration after Aurangzeb’s death:\n1.  Zulfiqar Khan, a Mughal emperor introduced a new revenue-farming or ijarah system to improve the finances of the Empire. \n2.  In this system Government began to contract with revenue farmers and middlemen to pay the government a fixed amount of money while they were left free to collect whatever they could from the peasant.\n3. It decreased oppression of the peasant compared to Todarmal’s land revenue system\nWhich of the statements given above is/are correct?",3 only,1 and 2 only,2 and 3 only,"1, 2 and 3 ",B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 3\nExplanation:\n Zulfiqar Khan, a Mughal emperor introduced a new revenue-farming or ijarah system to improve the finances of the Empire. In this system Government began to contract with revenue farmers and middlemen to pay the government a fixed amount of money while they were left free to collect whatever they could from the peasant. This led to increased oppression of the peasant compared to Todarmal’s land revenue system.",,,
,9,"Consider the following statements regarding a ruler of Persia, Nadir shah’s invasion of India:\n1.In 1739 His army inflicted crushing defeat on the Mughal army in Karnal\n2.In 1761, his successor Ahmad shah Abdali defeated the Marathas in the Third Battle of panipat.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 6\nExplanation:\nIn 1738, Nadir shah, the ruler of Persia, descended upon the plains of northern India, and the lay prostrate. In 1739 His army inflicted crushing defeat on the Mughal army in Karnal. In 1761, his successor Ahmad shah Abdali defeated the Marathas in the Third Battle of panipat.",,,
,9,"Consider the following statements regarding State of Hyderabad in Eighteenth century:\n1. It was founded by Nizam-ul-mulk Asaf Jah in 1724.\n2.He openly declared his independence from the central Mughal administration.\n3. He made a Hindu, Puran chand as his Dewan.\nWhich of the statements given above is/are correct?", 1 and 3 only, 1 and 2 only,2 and 3 only,"1, 2 and 3 ",A ,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 9\nExplanation:\n State of Hyderabad was founded by Nizam-ul-mulk Asaf Jah in 1724.He never openly declared his independence from the central Mughal administration. He followed a tolerant policy towards the hindus. He made a Hindu, Puran chand as his Dewan.",,,
,9,"What were the reasons for defeat of Bengal Nawabs by English East India Company?\n1.They had the power to deal with the company’s threat, but they continued to believe that a mere trading company could not threaten their power.\n2.Their lack of contact with rest of the world made them ignorant of aggressive and expansionist colonialism of the time.\n3. Even though they built strong army they couldn’t stand before English modern warfare.\nSelect the correct answer using the codes given below:",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3" ,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 11.\nExplanation:\n Bengal Nawabshad the power to deal with the company’s threat, but they continued to believe that a mere trading company could not threaten their power.Their lack of contact with rest of the world made them ignorant of aggressive and expansionist colonialism of the time.\nThe Nawabs of Bengal neglected to build a strong army and paid a heavy price for it.",,,
,9,"Consider the following statements regarding Sikhs:\n1. The transformation of the Sikhs into a militant, fighting community was begun Guru Hargobind.\n2.Guru Hargobind was tenth and last guru of the Sikhs, that they became a political and military force.\n3. Guru Hargobind waged constant war against the armies of Aurangzeb and hill rajas.\nWhich of the statements given above is/are correct?",1 only,2 only,2 and 3 only,"1, 2 and 3 ",A,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 18.\nExplanation:\n The transformation of the Sikhs into a militant, fighting community was begun Guru Hargobind.Gurugobind Singhwas tenth and last guru of the Sikhs, that they became a political and military force and he waged constant war against the armies of Aurangzeb and hill rajas",,,
,9,"Consider the following statements:\n1. This country had a monopoly of the highly profitable Eastern trade for nearly a century.\n2. In India, she established her trading settlements at cochin, Goa, Daman and Diu.\n3.From the beginning, she combined the use of force with trade with the superiority of armed ships.\nIn above statements the country refers to",Portugal,France,England,Dutch,A,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 36.\nExplanation:\nPortugal had a monopoly of the highly profitable Eastern trade for nearly a century.In India, she established her trading settlements at cochin, Goa, Daman and Diu. From the beginning, she combined the use of force with trade with the superiority of armed ships. A handful of Portuguese soldiers and sailors could maintain their position on the seas against the much more powerful land powers of India and Asia.",,,
,9,"Consider the following statements regarding English East India trading company:\n1.The company was formed in 1600 under the group of merchants known as the Merchant Adventurers.\n2.Conditions in South India were not favourable to open trading depot as they have to face strong Indian government.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 38\nExplanation:\nThe company was formed in 1599 under the group of merchants known as the Merchant Adventurers. In 1600 It was granted royal farman to exclusive privilege to trade in east. Conditions in South India were more favourable to open trading depot as they have not to face strong Indian government.",,,
,9,"Consider the following statements:\n1. In 1686 English East India company declared war on Mughal emperor\n2. In the war company were driven out of their factories and forts were besieged.\nWhich of the statements given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 40\nExplanation:\n Hostilities between the English and the Mughal Emperor broke out in 1686 after former had sacked Hugli and declared war on Mughal emperor. In the war company were driven out of their factories and forts were besieged.",,,
,9,"Consider the following statements regarding French East India company:\n1.The company was founded in 1664.\n2.It was largely controlled by the government.\n3. State control of the company proved quite favorable to the company to flourish.\nWhich of the statements given above is/are correct?",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3" ,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 41 and 42.\nExplanation:\n French East India company was founded in 1664.It was largely controlled by the government which appointed its directors after 1723.State control of the company proved quite harmful to it.",,,
,9,"The large-scale expansion of British rule in India occurred during the Governor- Generalship of Lord Wellesley. To achieve his political aims he relied on which of the following methods.\n1. Subsidiary Alliance.\n2. Outright war.\n3. Assumption of territories of previously subordinated rulers.\nSelect the correct answer using the codes given below:",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3" ,D,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 52.\nExplanation:\n The large-scale expansion of British rule in India occurred during the Governor- Generalship of Lord Wellesley (1798-1805). To achieve his political aims he relied on which of the Three methods. Subsidiary Alliance, Outright war and Assumption of territories of previously subordinated rulers.",,,
,9,"Consider the following statements:\n1.In 1773, Warren Hastings decided to manage the land revenues directly and auctioned the right to highest bidders.\n2. Permanent Settlement was introduced in Bengal and Bihar in 1793 by Lord Wellesley.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 75\nExplanation:\n In 1773, Warren Hastings decided to manage the land revenues directly and auctioned the right to highest bidders. Permanent Settlement was introduced in Bengal and Bihar in 1793 by Lord Cornwallis.",,,
,9,"Consider the following statements regarding policies introduced by Lord Dalhousie:\n1.He advocated rapid railway construction.\n2.He introduced postage stamps.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 74\nExplanation:\n Lord Dalhousieadvocated rapid railway construction. The first railway line running from Bombay to Thane was opened to traffic in 1853. He introduced postage stamps.",,,
,9,"Consider the following statements:\n1. Regulating Act of 1773 established Board of control and gave British govt supreme control over company’s affairs.\n2. Charter Act of 1813 ended monopoly of company to trade with India except tea and trade with china.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 66.\nExplanation:\n Pitt’s India Act established Board of control and gave British govt supreme control over company’s affairs. Charter Act of 1813 ended monopoly of company to trade with India except tea and trade with china.",,,
,9,"Consider the following statements regarding Britain’s economic relations with India after 1813:\n1.The government of India followed a policy of free trade or unrestricted entry of British goods.\n2. Free trade was two-sided, Indian products also imported into Britain with zero duty.\nWhich of the statements given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 70.\nExplanation:\n The government of India followed a policy of free trade or unrestricted entry of British goods. Free trade was one-sided, Indian products imported into Britain with heavy import duty.",,,
,9,Which of the following Land revenue settlement was introduced in south and south- western India by Britishers?,Permanent settlement,Ryotwari settlement,Mahalwari settlement,None of the above.,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 77.\nExplanation:\n Ryotwari settlementwas introduced in south and south- western India by Britishers, cultivator was to be recognised as the owner of his plot of land subject to the payment of land revenue.",,,
,9,"Consider the following statements:\n1.Lord Cornwallis introduced modern civil service to purify the administration.\n2.Lord Cornwallis also established the College of Fort William at Calcutta for education of young recruits to the Civil Service.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 81.\nExplanation:\n Lord Cornwallis introduced modern civil service to purify the administration. In 1800, Lord Wellesley established the College of Fort William at Calcutta for education of young recruits to the Civil Service.",,,
,9,Which of the following act made that all recruits to the civil service were to be selected through competitive examination?,Charter Act 1813,Charter Act 1833,Charter Act 1853,None of the above,C,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 81.\nExplanation:\n In 1853, the Charter Act decreed that all recruits to the civil service were to be selected through competitive examination.",,,
,9,"Consider the following statements regarding Police system in British period:\n1.Cornwallis went back to, and modernized, the old Indian system of Thanas.\n2.This system put India ahead of Britain where a system of police had not developed yet.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 83.\nExplanation:\n Cornwallis went back to, and modernized, the old Indian system of Thanas. This system put India ahead of Britain where a system of police had not developed yet.",,,
,9,"Consider the following statements.\n1.In 1833, the Government appointed a Law Commission headed by Lord Macaulay to codify Indian laws.\n2.The British introduced the modern concept of the rule of law. This meant that their administration was to be carried out, in obedience to laws.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 84.\nExplanation:\n In 1833, the Government appointed a Law Commission headed by Lord Macaulay to codify Indian laws.The British introduced the modern concept of the rule of law. This meant that their administration was to be carried out, in obedience to laws.",,,
,9,"Consider the following statements regarding Modernizing Indian Society by Bruisers:\n1.A few Englishmen known as Radicals desired to make India a part of the modern progressive world of science and humanism.\n2.The ruling elements adopted the reformist measures even though it come into conflict with its commercial interest.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 87.\nExplanation:\n A few Englishmen known as Radicals desired to make India a part of the modern progressive world of science and humanism. The ruling elements adopted the reformist measures only if and to the extent that they did not come into conflict with its commercial interest and profit motives.",,,
,9,"Consider the following statements regarding Wood’s Dispatch for Education in India in 1854:\n1.It asked the govt to follow the downward filtration theory to spread education in India.\n2.As its direction, affiliating universities were setup in 1857 at Calcutta, Bombay and Madras.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 92.\nExplanation:\nWood’s Dispatch for Education in India in 1854.It asked the govt to assume the responsibility for education of masses and repudiated the downward filtration theory to spread education in India.As its direction, affiliating universities were setup in 1857 at Calcutta, Bombay and Madras..",,,
