question_id,test_id,question,Option A,Option B,Option C,Option D,Answer,Explanation,paragrph,image,explanationImage
,10,"Suez Canal provides a direct trade route for ships operating between European or American ports and ports located in South Asia by doing away with the need to sail around Africa. Consider the following statements regarding it:\n1.It is an artificial waterway running from north to south across the Isthmus of Suez in north eastern Egypt.\n2. It was opened after the World war 1.\n3. Itreduced the cost of transportation and made access to the Indian market easier.\nWhich of the statements given above is/are correct?",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3" ,A  ,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 9\nExplanation:\n Suez Canal is an artificial waterway running from north to south across the Isthmus of Suez in north-eastern Egypt. It connects Port Said on the Mediterranean Sea with the Gulf of Suez, an arm of the Red Sea. The canal provides a direct trade route for ships operating between European or American ports and ports located in South Asia, East Africa and Oceania by doing away with the need to sail around Africa. Strategically and economically, it is one of the most important waterways in the world. Its opening in 1869 reduced the cost of transportation and made access to the Indian market easier.",,,
,10,"After Independence, several land reform measures were taken by the government. Which of the following were part of it?\n1.Enforcement of land ceiling\n2. Abolition of intermediaries\n3.Making the tillers the owners of land\nSelect the correct answer using the codes given below:",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3 ",D,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 23\nExplanation:\n Equity in agriculture called for land reforms which primarily refer to change in the ownership of landholdings. Just a year after independence, steps were taken to abolish intermediaries and to make the tillers the owners of land.\n Land ceiling was another policy to promote equity in the agricultural sector. This means fixing the maximum size of land which could be owned by an individual. The purpose of land ceiling was to reduce the concentration of land ownership in a few hands.",,,
,10,"Consider the following statements regarding Industrial Policy Resolution 1956:\n1.This resolution formed the basis of the Second Five Year Plan, the plan which tried to build the basis for a socialist pattern of society.\n2.There was a category of industries left to the private sector, according to this resolution\n3. Private sector industries can act independently without any government restrictions.\nWhich of the statements given above is/are correct?",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3" ,B,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 29\nExplanation:\n Industrial Policy Resolution 1956 (IPR 1956): In accordance with the goal of the state controlling the commanding heights of the economy, the Industrial Policy Resolution of 1956 was adopted. This resolution formed the basis of the Second Five Year Plan, the plan which tried to build the basis for a socialist pattern of society. This resolution classified industries into three categories. The first category comprised industries which would be exclusively owned by the state; the second category consisted of industries in which the private sector could supplement the efforts of the state sector, with the state taking the sole responsibility for starting new units; the third category consisted of the remaining industries which were to be in the private sector.\n Although there was a category of industries left to the private sector, the sector was kept under state control through a system of licenses. No new industry was allowed unless a license was obtained from the government.Even an existing industry had to obtain a license for expanding output or for diversifying production(producing a new variety of goods).",,,
,10,"Which of the following factors had contributed to the 1991 economic crisis in India?\n1. Government running high fiscal deficit.\n2. The continued spending on development programmes of the government did not generate additional revenue.\n3. The income from public sector undertakings was also not very high to meet the growing expenditure.\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 39\nExplanation:\nThe origin of the financial crisis can be traced from the inefficient management of the Indian economy in the 1980s. We know that for implementing various policies and its general administration, the government generates funds from various sources such as taxation, running of public sector enterprises etc. When expenditure is more than income, the government borrows to finance the deficit from banks and also from people within the country and from international financial institutions. When we import goods like petroleum, we pay in dollars which we earn from our exports.\nDevelopment policies required that even though the revenues were very low, the government had to overshoot its revenue to meet problems like unemployment, poverty and population explosion. The continued spending on development programmes of the government did not generate additional revenue. Moreover, the government was not able to generate sufficiently from internal sources such as taxation. When the government was spending a large share of its income on areas which do not provide immediate returns such as the social sector and defence, there was a need to utilise the rest of its revenue in a highly efficient manner. The income from public sector undertakings were also not very high to meet the growing expenditure.",,,
,10,"After the 1991 economic crisis, the government of India adopted the New Economic Policy. Its components were\n1. Financial Sector reforms\n2. Deregulation of Industrial sector\n3. Increase in income tax rates as a part of tax reforms\n4. Rupee was devalued against other foreign currencies\nSelect the correct answer using the codes given below","1, 2 and 3 only","2, 3 and 4 only","1, 2 and 4 only","1, 2, 3 and 4",C,"C – Class – 11 -  – Book Name – Indian Economic Development– Page No. 41 \nExplanation:\nRefer to topics under liberalization in page no. 41",,,
,10,"After 1991 Economic crisis government undertook some major reforms in agriculture. They were\n1. Public investment in market linkages, research and extension etc. has been increased.\n2. Removal of fertilizer subsidy.\n3. Reduction in import duties of agricultural products.\n4. Shift from production for the domestic market towards production for the export market focusing on cash crops in lieu of production of food grains\nSelect the correct answer using the codes given below","1, 2 and 3 only","2, 3 and 4 only","1 and 4 only","1, 2, 3 and 4",B,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 50.\nExplanation:\n Reforms have not been able to benefit agriculture, where the growth rate has been decelerating. Public investment in agriculture sector especially in infrastructure, which includes irrigation, power, roads, market linkages and research and extension (which played a crucial role in the Green Revolution), has been reduced in the reform period. Further, the removal of fertiliser subsidy has led to increase in the cost of production, which has severely affected the small and marginal farmers. This sector has been experiencing a number of policy changes such as reduction in import duties on agricultural products, removal of minimum support price and lifting of quantitative restrictions on agricultural products; these have adversely affected Indian farmers as they now have to face increased international competition. Moreover, because of export oriented policy strategies in agriculture, there has been a shift from production for the domestic market towards production for the export market focusing on cash crops in lieu of production of food grains. This puts pressure on prices of food grains.",,,
,10,"Consider the following statements regarding impact of power sector reforms during reform period after 1991 Economic crisis:\n1. It led to do away with the supply of electricity at subsidized rates and steep rise in power tariff.\n2. This led to a crisis in the livelihood of the weavers in power loom industry.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 51.\nExplanation:\n Power Sector reforms in many Indian states led to do away with the supply of electricity at subsidized rates and steep rise in power tariff. This has affected workers engaged in small industries. Power loom textile industry in Andhra Pradesh is an example. Since the wages of the power loom workers are linked to the production of cloth, power-cut means cut in wages of weavers who were already suffering from hike in tariff. This led to a crisis in the livelihood of the weavers and fifty power loom workers committed suicide in a small town called ‘Siricilla’ in Andhra Pradesh",,,
,10,"In rural areas, which of the following are predominant causes of poverty?\n1. Seasonal unemployment\n2. Social exclusion\n3. Continued fragmentation of small land holdings\n4. Migration to urban areas\nSelect the correct answer using the codes given below","1, 2 and 3 only","2, 3 and 4 only",1 and 4 only,"1, 2, 3 and 4",A,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 69.\nExplanation:\n A large section of the rural poor in India are the small farmers. The land that they have is, in general, less fertile and dependent on rains. Their survival depends on subsistence crops and sometimes on livestock. With the rapid growth of population and without alternative sources of employment, the per-head availability of land for cultivation has steadily declined leading to fragmentation of land holdings. The income from these small land holdings are not sufficient to meet the family’s basic requirements.",,,
,10,"The government’s approach to poverty reduction was of three dimensions. Arrange them in the correct chronological order.\n1. Growth trickle-down approach\n2. Expanding self-employment programmes and wage employment programmes.\n3. Providing minimum basic amenities to people.\nSelect the correct answer using the codes given below",1 – 2 - 3 ,2 – 1 - 3 ,3 – 1 - 2 ,3 – 2 - 1 ,A,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 73.\nExplanation:\n The government’s approach to poverty reduction was of three dimensions. The first one is growth oriented approach.This second approach has been initiated from the Third Five Year Plan (1961-66) and progressively enlarged since then. One of the noted programmes initiated in the 1970s was Food for Work. Expanding self-employment programmes and wage employment programmes are being considered as the major ways of addressing poverty.The third approach to addressing poverty is to provide minimum basic amenities to the people.",,,
,10,"Investment in which of the following directly leads to the formation of human capital of a country?\n1. Roads, power, transmission lines\n2. Primary education\n3. On-job training\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 84\nExplanation:\nJust as a country can turn physical resources like land into physical capital like factories, similarly, it can also turn human resources like students into human capital like engineers and doctors.Investment in education is considered as one of the main sources of human capital. There are several other sources as well. Investments in health, on- thejob training, migration and information are the other sources of human capital formation.",,,
