question_id,test_id,question,optionA,optionB,optionC,optionD,answer,explanation,paragraph,image,explanationImage
,4,"Consider the following about a ritual hiranya-garbha.\n1. In the mid-eighth century, Dantidurga, a Rashtrakuta chief, performed this ritual\n2. This can be done by only Kshatriya kings by birth \nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a,"Class – 7  – Book Name – OUR PAST-2  – Page No. 17 \nExplanation: \nOne such instance was that of the Rashtrakutas in the Deccan. Initially they were subordinate to the Chalukyas of Karnataka. In the mid-eighth century, Dantidurga, a Rashtrakuta chief, overthrew his Chalukya overlord and performed a ritual called hiranya-garbha (literally, the golden womb). When this ritual was performed with the help of Brahmanas, it was thought to lead to the 'rebirth' of the sacrificer as a Kshatriya, even if he was not one by birth",,,
,4,"Consider the following statements regarding Tripartite Struggle in Medieval Period of Indian history \n1. It was fought for city of Kanauj in the Ganga valley\n2. For centuries, rulers belonging to the Gurjara-Pratihara, Rashtrakuta and Chola dynasties fought for this city\nWhich of the statements given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,"Class – 7  – Book Name – OUR PAST-2  – Page No. 20 & 21\nExplanation:\nEach of these ruling dynasties was based in a specific region. At the same time, they tried to control other areas. One particularly prized area was the city of Kanauj in the Ganga valley.\nFor centuries, rulers belonging to the Gurjara-Pratihara, Rashtrakuta and Pala dynasties fought for control over Kanauj. Because there were three “parties” in this longdrawn conflict, historians often describe it as the 'tripartite struggle'",,,
,4,"Consider the following statements regarding Kitab-al Hind the  account of the Indian subcontinent\n1. This Arabic work was written by al-Biruni\n2. It was written on the behalf  of  Mahmud of Ghazni, Afghanistan.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 7  – Book Name – OUR PAST-2  – Page No. 20 & 21\nExplanation:\nMuch of the wealth Mahmud carried away was used to create a splendid capital city at Ghazni. He was interested in finding out more about the people he conquered, and entrusted a scholar named al-Biruni to write an account of the subcontinent. This Arabic work, known as the Kitab-al Hind, remains an important source for historians. He consulted Sanskrit scholars to prepare this account",,,
,4,"Consider the following statements regarding Chola Kingdom in South india.\n1. Vijayalaya, who belonged to the ancient chiefly family of the Cholas from Uraiyur, captured the kaveri delta from the Muttaraiyar in the middle of the ninth century.\n2. Rajaraja I, considered the most powerful Chola ruler, became king in 985\n3. They didn’t have Naval army.\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,"1, 2 and 3","1 and 3 only",a,"Class – 7  – Book Name – OUR PAST-2  – Page No. 23\nExplanation:\nA minor chiefly family known as the Muttaraiyar held power in the Kaveri delta. They were subordinate to the Pallava kings of Kanchipuram. Vijayalaya, who belonged to the ancient chiefly family of the Cholas from Uraiyur, captured the delta from the Muttaraiyar in the middle of the ninth century.\nRajaraja I, considered the most powerful Chola ruler, became king in 985 and expanded control over most of these areas. He also reorganised the administration of the empire. Rajaraja’s son Rajendra I continued his policies and even raided the Ganga valley, Sri Lanka and countries of Southeast Asia, developing a navy for these expeditions.",,,
,4,"Consider the following statements regarding Islam:\n1. Sunni Muslims believe that the Prophet’s son-in-law, Ali, was the legitimate leader of the Muslim community.\n2. Shia Muslims accept the authority of the early leaders (khalifas) of the community, and the succeeding Khalifas.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d,"Class – 7  – Book Name – OUR PAST-2  – Page No.12\nExplanation:\nAnd like Hinduism, Islam was interpreted in a variety of ways by its followers. There were the Shia Muslims who believed that the Prophet’s son-in-law, Ali, was the legitimate leader of the Muslim community and the Sunni Muslims who accepted the authority of the early leaders (khalifas) of the community, and the succeeding Khalifas. There were other important differences between the various schools of law (Hanafi and Shafi’i mainly in India), and in theology and mystic traditions",,,
,4,"Delhi became important city only in the twelfth century. Consider the following statements regarding it.\n1. Delhi first became the capital of a kingdom under the Tomara Rajputs\n2. Many rich Jaina merchants lived in the city and constructed several temples. Coins minted here, called dehliwal, had a wide circulation.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 7  – Book Name – OUR PAST-2  – Page No. 30.\nExplanation:\nDelhi first became the capital of a kingdom under the Tomara Rajputs, who were defeated in the middle of the twelfth century by the Chauhans (also referred to as Chahamanas) of Ajmer. It was under the Tomaras and Chauhans that Delhi became an important commercial centre. Many rich Jaina merchants lived in the city and constructed several temples. Coins minted here, called dehliwal, had a wide circulation",,,
,4,"Consider the following statements regarding chronicler of 13th century Minhaj-i Siraj:\n1. He recognized Raziyya, Iltutmish’s daughter was more able and qualified than all her brothers.\n2. He was  comfortable at having a queen as ruler.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a,"Class – 7  – Book Name – OUR PAST-2  – Page No. 33.\nExplanation: \nIn 1236 Sultan Iltutmish’s daughter, Raziyya, became Sultan. The chronicler of the age, Minhaj-i Siraj, recognised that she was more able and qualified than all her brothers. But he was not comfortable at having a queen as ruler. Nor were the nobles happy at her attempts to rule independently. She was removed from the throne in 1240",,,
,4,"Which of following measures were taken by Muhammad Tughlaq which failed miserably?\n1. Shifting of capital to Daultabad in south.\n2. Introduction of token currency.\n3. Kashmir campaign.\nSelect the correct answer using the code given below","1 and 2 only","2 and 3 only","1, 2 and 3","1 and 3 only",c,"Class – 7  – Book Name – OUR PAST-2  – Page No. 41.\nExplanation:\nMuhammad Tughluq’s administrative measures were a failure. His campaign into Kashmir was a disaster. He then gave up his plans to invade Transoxiana and disbanded his large army. Meanwhile, his administrative measures created complications. The shifting of people to Daulatabad was resented. The raising of taxes and famine in the Ganga-Yamuna belt led to widespread rebellion. And finally, the 'token' currency had to be recalled.",,,
,4,"Consider the following statements regarding iqtas:\n1. Delhi Sultans appointed military commanders as governors of territories of varying sizes called iqtas.\n2. Holder of iqtas was iqtadar or muqti who were responsible  to lead military campaign and maintaining law & order in their  iqtas in lieu of which they were permitted to collect revenue from the iqtas.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c,"Class – 7  – Book Name – OUR PAST-2  – Page No. 39.\nExplanation:\nLike the earlier Sultans, the Khalji and Tughluq monarchs appointed military commanders as governors of territories of varying sizes. These lands were called iqta and their holder was called iqtadar or muqti. The duty of the muqtis was to lead military campaigns and maintain law and order in their iqtas. In exchange for their military services, the muqtis collected the revenues of their assignments as salary. They also paid their soldiers from these revenues.",,,
,4,"Consider the following statements regarding Mansabdar in Mughal period:\n1. The term mansabdar refers to an individual who holds a mansab, meaning a position or rank.\n2. Their rank and salary were determined by a numerical value called zat.\n3. Mansabdars received their salaries as cash.\nWhich of the statements given above is/are correct?",1 only,1 and 2 only,"1, 2 and 3",1 and 3 only,B,"Class – 7  – Book Name – OUR PAST-2  – Page No. 51.\nExplanation:\nThe term mansabdar refers to an individual who holds a mansab, meaning a position or rank. It was a grading system used by the Mughals to fix (1) rank, (2) salary and (3) military responsibilities. Rank and salary were determined by a numerical value called zat. The higher the zat, the more prestigious was the noble’s position in court and the larger his salary.\nMansabdars received their salaries as revenue assignments called jagirs which were somewhat like iqtas. But unlike muqtis, most mansabdars did not actually reside in or administer their jagirs. They only had rights to the revenue of their assignments which was collected for them by their servants. At the time of aurengzeb’s reign, there was huge increase in the number of mansabdars who tried to extract as much revenue as possible leading to sufferings for peasants.",,,
,4,"What did the term Kharaj mean during sultanate period?",Tax on cattle,Tax on houses,Tax on trade,Tax on cultivation,d,"The Sultan’s administrators measured the land and kept careful accounts. Some of the old chieftains and landlords served the Sultanate as revenue collectors and assessors. There were three types of taxes – (1) on cultivation called kharaj and amounting to about 50 per cent of the peasant’s produce, (2) on cattle and (3) on houses",,,
,4,"Akbar’s administration Subadar officer who carried out both  political and military functions is supported by\n1. Military paymaster – sadr\n2. The minister in charge of religious and charitable patronage- bakhshi\n3. Military commanders- faujdars\n4. The town police commander- kotwal.\nSelect the correct answer using the code given below",1 and 2  only,3 and 4 only,"1, 2, 3 and 4",2 and 3 only,b,"Abul Fazl explained that the empire was divided into provinces called subas, governed by a subadar who carried out both political and military functions. Each province also had a financial officer or diwan. For the maintenance of peace and order in his province, the subadar was supported by other officers such as the military paymaster (bakhshi), the minister in charge of religious and charitable patronage (sadr), military commanders (faujdars) and the town police commander (kotwal).",,,
,4,"Consider the following statements regarding Sulh-i kul:\n1. Abul Fazl helped Akbar in framing a vision of governance around this idea of universal peace and religious tolerance.\n2. This principle of governance got neglected during reign of Jahangir and Shah Jahan.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 7  – Book Name – OUR PAST-2  – Page No. 55.\nExplanation:\nAkbar’s interaction with people of different faiths made him realize that religious scholars who emphasised ritual and dogma were often bigots. Their teachings created divisions and disharmony amongst his subjects. This eventually led Akbar to the idea of sulh-i kul or“universal peace”. This idea of tolerance did not discriminate between people of different religions in his realm. Instead it focused on a system of ethics – honesty, justice, peace – that was universally applicable. Abul Fazl helped Akbar in framing a vision of governance around this idea of sulh-i kul. This principle of governance was followed by Jahangir and Shah Jahan as well",,,
,4,"Consider the following statements regarding Tribal Societies during Medieval Period\n1. In many areas of present-day Bihar and Jharkhand, Chero chiefdoms had emerged by the twelfth century\n2. Raja Man Singh, Akbar’s famous general, attacked and defeated the Cheros in 1591but they were not entirely subdued\n3. Under Aurangzeb, Mughal forces captured many Chero fortresses and subjugated the tribe.\nWhich of the statements given above is/are correct?",1 only,1 and 2 only,1, 2 and 3,1 and 3 only,C,"Class – 7  – Book Name – OUR PAST-2  – Page No. 93.\nExplanation:\nIn many areas of present-day Bihar and Jharkhand, Chero chiefdoms had emerged by the twelfth century. Raja Man Singh, Akbar’s famous general, attacked and defeated the Cheros in 1591. A large amount of booty was taken from them, but they were not entirely subdued. Under Aurangzeb, Mughal forces captured many Chero fortresses and subjugated the tribe.",,,
,4,"Consider the following statements regarding Mughal architecture:\n1. Chahar bagh is garden divided into four quarters by artificial channela\n2. Behind the emperor’s throne were a series of pietra dura which is coloured hard stones placed in depressions\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 7  – Book Name – OUR PAST-2  – Page No. 69.\nExplanation:\nBoth are true",,,
