question_id,test_id,Question,Option A,Option B,Option C,Option D,Answer,Explanation,paragraph,image,explanationImage
,12,"Consider the following statements:\n1. All the planets except Venus revolve around the sun in an elliptical orbit.\n2. Mars is considered as Earth twin because of its close proximity in size, mass and density.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"• All the planets revolve round the sun in elliptical orbits.\n• Venus is earth’s twin.",,,
,12,"2. Identify the following factors which prove earth is spherical (not flat)\n1. Circum navigation of earth.\n2. Sunrise and sunset\n3. Driving poles on the earth do not give perfect spherical level.\n4. Aerial photographs\nSelect the correct answer using the codes given below",1 and 4 only,"1, 2 and 4 only","1, 2 and 3 only","1, 2, 3 and 4",B,"• If the earth is flat all the places would have sunrise and sunset at the same time.\n• Driving poles on level ground will given special level if top of poles are connected.",,,
,12,"3. Consider the following statements regarding Igneous rocks:\n1. They are known as primary rocks.\n2. They contain abundant Fossils..\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A ,"What are igneous rocks?\n• Igneous rocks (from the Greek word for fire) form from when hot, molten rock crystallizes and solidifies. The melt originates deep within the Earth near active plate boundaries or hot spots, then rises toward the surface. Igneous rocks are divided into two groups, intrusive or extrusive, depending upon where the molten rock solidifies.\nIntrusive Igneous Rocks:\n• Intrusive, or plutonic, igneous rock forms when magma is trapped deep inside the Earth. Great globs of molten rock rise toward the surface. Some of the magma may feed volcanoes on the Earth's surface, but most remains trapped below, where it cools very slowly over many thousands or millions of years until it solidifies. Slow cooling means the individual mineral grains have a very long time to grow, so they grow to a relatively large size. Intrusive rocks have a coarse grained texture.\nExtrusive Igneous Rocks:\n• Extrusive, or volcanic, igneous rock is produced when magma exits and cools above (or very near) the Earth's surface. These are the rocks that form at erupting volcanoes and oozing fissures. The magma, called lava when molten rock erupts on the surface, cools and solidifies almost instantly when it is exposed to the relatively cool temperature of the atmosphere. Quick cooling means that mineral crystals don't have much time to grow, so these rocks have a very fine-grained or even glassy texture. Hot gas bubbles are often trapped in the quenched lava, forming a bubbly, vesicular texture.",,,
,12,"4. Which of the following factors help in formation of fold mountains?\n1. Increased load of overlying rocks.\n2. Flow movements in the mantle.\n3. Magmatic intrusion into the crust.\nSelect the correct answer using the codes given below",1 only,1 and 3 only,2 and 3 only,"1, 2 and 3",D,"• Fold mountains are created where two or more of Earth’s tectonic plates are pushed together. At these colliding, compressing boundaries, rocks and debris are warped and folded into rocky outcrops, hills, mountains, and entire mountain ranges.\n• Fold mountains are created through a process called orogeny. An orogenic event takes millions of years to create a fold mountain, but you can mimic it in seconds. Cover a table with a tablecloth, or place a rug flat on the floor. Now push the edge of the tablecloth or rug—wrinkles will develop and fold on top of each other.\n• The vocabulary of fold mountains owes something to this simple tablecloth experiment. Some of the key structures in fold mountains are nappes. Nappes are common, dramatic folded rocks or rock formations. 'Nappe' is French for 'tablecloth' and the formations were named after the tabletop experiment.\n•  The huge difference between the rock folds and cloth folds is that in the tabletop experiment, the table itself does not fold. In the creation of fold mountains, Earth’s crust itself is warped into folded forms.\n•  Fold mountains are often associated with continental crust. They are created at convergent plate boundaries, sometimes called continental collision zones or compression zones. Convergent plate boundaries are sites of collisions, where tectonic plates crash into each other. Compression describes a set of stresses directed at one point in a rock or rock formation.\n• At a compression zone, tectonic activity forces crustal compression at the leading edge of the crust formation. For this reason, most fold mountains are found on the edge or former edge of continental plate boundaries. Rocks on the edge of continental crust are often weaker and less stable than rocks found in the continental interior. This makes them more susceptible to folding and warping. Most fold mountains are composed of sedimentary rock and metamorphic rock formed under high pressure and relatively low temperatures. Many fold mountains are also formed where an underlying layer of ductile minerals, such as salt, is present.\n Young and Old, High and Low\n•  Fold mountains are the most common type of mountain in the world. The rugged, soaring heights of the Himalayas, Andes, and Alps are all active fold mountains.\n• The Himalayas stretch through the borders of China, Bhutan, Nepal, India, and Pakistan. The crust beneath the Himalaya, the most towering mountain range on Earth, is still the process of being compressed. Here, the Indian plate is colliding northward with the Eurasian plate. The sedimentary rocks of the Himalayas include shale and limestone. Metamorphic rocks of the region include schist and gneiss. Dikes of igneous rock also intrude throughout the rock formations of the Himalayas.\n• The Andes are the world’s longest mountain chain. They stretch along the entire west coast of South America, from Colombia in the north and through Ecuador, Peru, Bolivia, Chile, and Argentina to the south. Here, the dense oceanic crust of the Nazca and Antarctic plates is subducting beneath the less-dense continental crust of the South American plate. The Andes are mostly being folded and uplifted from the thicker, less-dense rocks of the South American plate. The sedimentary and metamorphic rocks of the Andes are dotted by active and dormant volcanoes.\n• The Alps roughly mark the top of the 'boot' of the Italian Peninsula. The Alps stretch across Italy, Slovenia, Austria, Germany, Switzerland, Lichtenstein, Monaco, and France. Here, the tiny Adriatic plate is colliding with the much larger Eurasian plate to the north. The J-shaped Adriatic plate is a remnant of the African plate to the south, and today it carries the eastern Italian Peninsula as well as the entire Adriatic Sea. Alpine geology includes sedimentary and metamorphic rock, as well as igneous rocks that once were part of the ocean floor and were later uplifted in the process of folding.\n• Not all fold mountains are soaring peaks. The Appalachians, stretching along North America’s east coast, are generally low-lying, gentle slopes. Millions of years ago, the Appalachians were taller than the Himalayas! Millions of years of erosion, however, have taken their toll. Today, some of the highest peaks of the Appalachians are less than a third of the height of Everest.\n•  The crust that is now the Appalachians began folding 480 million years ago, when the North American and African continental plates collided. Plate tectonics created this ancient mountain range, then called the Central Pangean Mountains . . . and plate tectonics tore it apart. As tectonic activity ripped apart the ancient supercontinent Pangea, the African, Eurasian, and North American plates drifted apart.\n•  The Appalachians are just one remnant of the Central Pangean Mountains. The Appalachians stretch from the province of Newfoundland, in southeastern Canada, through the southern state of Alabama in the U.S. They are related to the gentle fold mountains of the Scottish Highlands (Eurasia) and the Little Atlas Mountains, Morocco (Africa)—their orogenic sisters from the Central Pangean Mountains.\nTypes of Folds\n• Fold mountains are defined by complex, vital geologic forms known as folds. There are many, many different types of folds. Geologists primarily categorize folds by their shape—do they have sharp turns or gentle curves? Are the folds convex or concave?\n• A fold mountain usually displays more than one type of fold. Anticlines and synclines are the most common up-and-down folds that result from compression. An anticline has a ∩-shape, with the oldest rocks in the center of the fold. A syncline is a U-shape, with the youngest rocks in the center of the fold.\n•  Domes and basins are often considered types of folds. A dome is a series of symmetrical anticlines, roughly shaped like half a sphere. Like an anticline, the oldest rocks in a dome are found in the center. A basin is a depression, or dip, in the Earth’s surface. Like a syncline, a basin has its youngest rocks in its center.\nOther types of fold include:\n• monoclines. A monocline is a type of fold in which all rock layers incline, or dip, in the same direction.\n• chevron. A chevron is a sharp, straight fold where rock layers look like zig-zags.\n• slump. A slump fold is a result of slope failure (a type of mass wasting or landslide). The slope failure happened when sediments were soft, before they became a single mass of rock. As the sediments lithified, they became a slump.\n• ptygmatic. Ptygmatic folds are a type of slump fold created where the folding material is much more viscous than the material surrounding it. Many ptygmatic folds are created as metamorphic rock melts and intrudes into another rock layer, forming a dike.\n• disharmonic. Disharmonic folds describe rock formations in which different rock layers have different fold shapes.",,,
,12,"Consider the following pairs:\n1. Geysers and hot springs – Emission of water vapors\n2. Fumaroles – Emission of gases like CO2, SO2.\nWhich of the pairs given above is/are correctly matched?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"• Hot springs and geysers also are manifestations of volcanic activity. They result from the interaction of groundwater with magma or with solidified but still-hot igneous rocks at shallow depths.\n• Yellowstone National Park in the United States is one of the most famous areas of hot springs and geysers in the world. The total heat flux from these thermal features is estimated to be 300 megawatts (300 million watts). The last great eruption at Yellowstone occurred about 630,000 years ago when some 1,000 cubic km (240 cubic miles) of rhyoliticpumice and ash were ejected in huge pyroclastic flows and resulted in the formation of a caldera—a large circular or oval depression caused by collapse of the surface following magma removal—approximately 45 by 75 km (28 by 47 miles) in size. Yellowstone Lake now occupies part of this giant caldera. Since that last great outburst, about 1,200 cubic km (288 cubic miles) of rhyolite lava flows and domes have erupted in numerous smaller events. The cooling roots of such past eruptions, or possibly the new intrusions of magma at shallow depth, are the heat sources for the Yellowstone hot springs and geysers.\n• Geysers are hot springs that intermittently spout a column of hot water and steam into the air. This action is caused by the water in deep conduits beneath a geyser approaching or reaching the boiling point. At 300 metres (about 1,000 feet) below the surface, the boiling point of water increases to approximately 230 °C (450 °F) because of the increased pressure of the overlying water. As bubbles of steam or dissolved gas begin to form, rise, and expand, hot water spills from the geyser’s vent, lowering the pressure on the water column below. Water at depth then momentarily exceeds its boiling point and flashes into steam, forcing additional water from the vent. This chain reactioncontinues until the geyser exhausts its supply of boiling water.\n• Cross section of a geyser and hot springGroundwater percolates through porous rock into fractures deep underground, where heat from a nearby magma chamber superheats the pressurized water to a temperature above the boiling point of water at surface pressure. In hot springs the rising superheated water is cooled below the boiling point by groundwater before reaching the surface. In geysers the superheated water collects in underground pockets. There a small drop in pressure caused by the release of water at the surface flashes the superheated water into steam, which expands and ejects a column of steam and water into the air. When the supply of steam and hot water is exhausted, the spouting stops and the cycle begins again.Encyclopædia Britannica, Inc.\n• After a geyser stops spouting, the conduits at depth refill with groundwater, and reheating begins again. In geysers such as Yellowstone’s Old Faithful, the spouting and recharge period is quite regular. This famous geyser has gushed to heights of 30 to 55 metres (100 to 180 feet) about every 90 minutes for more than 100 years. If Old Faithful’s eruption lasts only a minute or two, the next interval will be shorter than average, while a four-minute eruption will be followed by a longer interval. Other geysers have much more erratic recharge times.",,,
,12,"Consider the following statements regarding Mt. Krakatau:\n1. It is located in the Malacca Strait\n2. It is dormant type of Volcano\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"• Mt. Krakatu is active volcano which caused severe destruction in Indonesia\n• It is located in Kunda strait.",,,
,12,Select the correct order of Denudation Chronology.,Erosion – Weathering – Transportation - Deposition. ,Erosion – Transportation – Weathering - Deposition.,Weathering – Erosion – Transpiration – Deposition.,Weathering – Transportation – Erosion – Deposition. ,C,"• Denudation, a term that implies a lowering of continental surfaces.\n• Denudation is accomplished by the interaction of 5 types of activities:\n1. Weathering is the breaking down of rock into smaller components by atmospheric and biotic action agencies.\n2. Mass wasting involves the relatively short-distance down slope movement of broken rock material under the direct influence of gravity.\n3. Erosion consists of the removal, transportation, and eventual deposition of fragmented rock material over wider areas and sometimes to greater distances than is the case in mass wasting.\n4. Transportation\n5. Deposition",,,
,12,"Consider the following statements regarding Mass Movements:\n1. It is the down slope movement of weathered material due to water.\n2. Mass movement is always sudden a events.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"• Mass Movement is down slope gravitational movements of weathered material due to failure of the rock.\n• Mass movement may be gradual or sudden.",,,
,12,"Consider the following statements:-\n1. Wind, Water, Glacier are the agents of erosion.\n2. Running water is the most important single agent of denudation.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C," 1. River Water\n 2. Ground Water or Karst or limestone\n 3. Wind\n 4. Glacial movements.\n5. Coastal tides and waves. ",,,
,12,The transport route connecting the Kashmir from Leh crosses the high mountain ranges at the:,Pir Panjal pass ,Karakoram pass ,Banihal pass ,Zoji La pass,B,"•  The Karakoram Pass is a hill pass in the middle of India and China, lying in the Karakoram Mountain Range . It is the tallest pass on the very old caravan path in the midst of Leh in Ladakh and Yarkand in the Tarim Valley. In Turkey, the expression Karakoram refers to 'Black Gravel'. The Karakoram Pass rises to an elevation of 5,540 m (18,176 ft).\nAbout Karakoram Pass\n• The towering altitude and deficiency of foodgrains were the principal causes for the losses of numerous pack animals. The course through the pass was disreputable for the trace of bones sprinkled adjacent to the itinerary. There is virtually no presence of flora on the entry routes to the pass. The southern segment of the pass is more barren than the north. Traversing the lower Suget Dawan or Suget Pass is easier.\n• The Karakoram Pass is in a seat in the middle of two mountains. The width of the pass is approximately 45 meters (148 ft). There is no plant life or icecap and it is typically bereft of snow as a result of the breezes. There are moderate temperatures, recurrently powerful breezes, snowstorms are a common feature, and the towering altitude has an outcome. Irrespective of all these factors, the Karakoram Pass was assumed to be a fairly trouble-free pass as a consequence of the stable upward slope on both sides. There was deficiency of summer frost and snow for the maximum portion of the year. Therefore, the pass remained open for the maximum part of the year. However, there is no passable path over the pass, and the pass at the moment is kept shut to all types of traffic movements\nCold breezes move at a terrific speed in this area.\n• The Karakoram Pass moves through the Indian State of Jammu and Kashmir . It is situated on one of the tallest business and commerce itineraries in the world for Yarkand, located in Central Asia. The itinerary takes you from the Nubra Basin in Ladakh above the Siser La, Tulimpati La, and above the camp locations such as Burtso, Murgo, Daulatbeg Oldi, Kazilangar, and ultimately guides you to the pass.\n• The area around the pass is infertile with no foliage at all. Temperatures can decline to minus 30°C and snowstorms are a regular feature round the year. If you come close to the Daultat Beg Oldi Camp Location, you will find an extensive stretch of 16 km beside the desiccated embankment of the river. You will never fail to notice the itinerary if you go by the trace of the bare bones of various creatures and human beings. These are soundless prompts of the inhospitable circumstances that resulted in casualties in ancient periods when this itinerary was utilized by merchants of Central Asia.\n• The final extension of the pass culminates towards the right of the embankment of the river to the pass. In spite of the fact that the slope is moderate and not especially hard, it is the low density (low oxygen content) air that makes going past this pass especially difficult. At the place where the pass culminates, there is an ascent of approximately 1,000 feet and in the remoteness, a groove is seen, which is nothing else but the Karakoram Pass. \n• The coordinates of the pass are 35°30′48″N and 77°49′23″E.\n• At an elevation of 18,176 ft, the pass is created by a seat amid two moderately high mountain peaks. The width is just 50 yards. On the opposite slope, there is a stable decline, infertile and moderate mountain aspects are present between the elevations of 19,000 feet and 20,000 feet.\n• One part of this enormous Himalayan strip is located in India and another part is situated in China.\nGeopolitical matters\n• The Karakoram Pass is situated on the border of areas under the dominance of India (the territory of Jammu and Kashmir) and China (Xinxiang Autonomous Territory).\n• The Karakoram Pass also plays a significant geological role in the disagreement between India and Pakistan about the dominance of Siachen Glacier Region right away towards the west of the Pass.\n• These circumstances occurred after the Simla Agreement, which was ratified in 1972 between Pakistan and India, when the pact was unsuccessful to delineate the final 60 miles (100 km) or so of the armistice line from the finish of the Line of Control to the boundary with China.\n• A probable India-China-Pakistan tripoint at Karakoram Pass is mentioned in a border pact between Pakistan and China in 1963. This was in relation to the Trans-Karakoram territory, however India was not aware of that accord nor any tripoint contract. The presently existing tripoint is approximately 100 km west to the pass at Indira Col in the Siachen Muztagh. This is the spot where the Actual Ground Position Line between Pakistani and Indian Army touches the boundary with China.",,,
