question_id,test_id,Questions,Option A,Option B,Option C,Option D,Answer,Explanation,paragraph,image,explanationImage
,8,"With reference to the history of philosophical thoughts in India, Consider the following statements regarding Sankhya School:\n1.Sankhya does not accept the theory of Re-Birth or transmigration of Soul.\n2.Sankhya holds that it is the self-knowledge that leads to liberation and not any exterior influence or agent.\nWhich of the staements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,SankhyaAccpet Rebirth & Transmigration 0f Soul,,,
,8,"Consider the following statements:\n1.Vihara is a large hall of worship with a number of columns.\n2.Sthambas with religious emblems were put up by pious Buddhist in honor of Buddha or other great Buddhist.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"1. Chaitya was a hall of worship\n2. Vihara consisted of a central hall with small cells all around in which the monks lived",,,
,8,"Consider the following pairs regarding Iconic Delhi Durbar Painting \n1.British painter – Roderick Mackenzie.\n2.Portrait of Lord Curzon.\n3.It is not kept in Victoria Memorial Hall.\nWhich of the pairs given above is/ar correctly matched?",1 only,1 and 2 only,1 and 3 only,"1, 2 and 3",B,After renovation Delhi durbar Painting kept in Victoria hall.,,,
,8,"Consider the following statements regarding DhokreSculptures:\n1.It is mainly found in Chattisgarh.\n2.It is made by using Harappan Civilization Lost Wax Technique.\n3.These Sculptures does not include Mythological themes.\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",A,Dhokre Sculptures contains Mythological themes like Mahabharata.,,,
,8,"To which region does Sharqi Architecture belong?",Jaunpur,Mathura,Mewar,Delhi,A,Sharqi Architecture Belongs to Sharqidynasity in UP.,,,
,8,"Consider the following statements regarding Kashmir Paper Mache Art:\n 1.Kashmiri Sunni Muslims Patron this Art.\n 2.This art developed since 14th Century.\nWhich of the statmeents given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,Kashmir Paper Mache Art was patronized by Shia Muslims. ,,,
,8,Hemis Monastery is associated with,GilgitBalistan,DaryCeling,Ladakh,Valabhi,C,"Hemis Monastery is a Himalayan Buddhist monastery (gompa) of the Drukpa Lineage, in Hemis, Ladakh, India.",,,
,8,"Consider the following statements regarding Kambala Buffalo Race:\n1. Its origin was traced back to 800 years.\n2.It is dedicated to Lord Manjunatha.\n3.Manjunatha is an incarnation of Lord Vishnu.\nWhich of the statements given above is/are correct?",1 only,3 only,1 & 2 only,2 & 3 only,C,Manjunatha is an Incarnation of Lord Shiva.,,,
,8,"Consider the following statements regarding Kaliyattam:\n1.It is also known as Theyyam.\n2.It is performed in house as a form of ancestor worship.\n3.Kaliyattam has an element of dance,music, drama& mire.\nWhich of the statements given above is/are correct?",1 & 2 only,1 & 3 only,2 & 3 only,"1, 2 and 3",D,"• Kaliyattam is a popular ritual form of worship in Kerala, India, predominantly in the Kolathunadu area and also in South Canara and Kodagu of Karnataka as a living cult with several thousand-year-old traditions, rituals and customs\n• It is also known as Theyyam.\n• It is performed in house as a form of ancestor worship.\n• Kaliyattam has an element of dance, music, drama & mire.",,,
,8,"Consider the following statements regarding Golconda Fort:\n 1.It belongs to Kakatya Kings.\n 2. In 1363 AD,it ceded to Vijayanagara Kings.\n 3. It is not Capital of QutubShahi Kings. \nWhich of the statements given above is/are incorrect?",1 only,1 and 3 only,2 and 3 only,"1, 2 and 3",C,"Golkonda, also known as Golconda, Golkonda (Round shaped hill), or Gollakonda, (Shepherd's Hill) is a citadel and fort in Southern India and was the capital of the medieval sultanate of the QutbShahi dynasty (c.1512–1687), is situated 11 km west of Hyderabad.",,,
,8,"Consider the followign statements regarding Thanjavur Dolls:\n1.It doesnot have GI Tag.\n2.These dolls were originated in 19th Century.\n3.King Sarbojigave Patron to Thanjavur Dolls.\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,"1, 2 and 3",None of the above,B,"They have been recognized as a Geographical Indication by the Government of India as of 2008-09",,,
,8,"Consider the following statements regarding LakhonKhol: \n1.It began in early Angork Era.\n2.It is entirely male version.\n3.The elements does not include story telling.\nWhich of the statements given above is/are correct?",1 and 2 only,1 and 3 only,2 and 3 only,"1, 2 and 3",A,"• LakhonKhol or Khmer masked drama dance is a dance drama genre that is performed in Cambodia.\n• It is Include Storytelling, dance drama",,,
,8,"Which of the following is/are Mask Dance?\n1.  Cham   2. Therukooth   3. Dadagani   4. Samana Kuntra.\nSelect the correct answer using the codes given below",1 and 2 only,"2, 3 and 4 only","1, 2 and 3 only","1, 2, 3 and 4",D,All the above was performed with masks.,,,
,8,Which one of the following themes could not be found in the Ashokan inscriptions?,Code of discipline for monks.,Instructions to hunters.,Medical and welfare services.,Persecution of brahmanas.,D," The inscriptions and edicts of Asoka refer to a collection of 33 inscriptions on the Pillars of Asoka, as well as boulders and cave walls, made by the Emperor Asoka during his reign from 272 to 231 BC dispersed throughout the areas of modern-day Pakistan, Nepal and India",,,
