question_id,test_id,online_test_question,optionA,optionB,optionC,optionD,answer,explanation,paragraph,image,explanationImage
,1,"Which among the following results in odd number?","(odd+odd)*Odd","odd+(odd*odd)","(Even *Even)+odd","(Odd+Even)+odd","c","(odd+odd)*Odd = Even\nodd+(odd*odd) =Even\n(Even *Even)+odd = odd\n(Odd+Even)+odd = Even\n",,,
,1,"For all real numbers b and c such that the product of c and 3 is b, which of the following expressions represents the sum of c and 3 in terms of b?","b+3","3b+3","3(b+3)","b/3+3","d","3c = b\nC=b/3\nC+3 = b/3+3\n",,,
,1,"Find the difference between the greatest number and the smallest number which can be formed using each of the digits 3, 4, 7, 8 and 9 exactly once.","62409","62464","62466","62964","a","The greatest number is 98753. Smallest number is 35789. Difference= 98753 – 35789 = 62964",,,
,1,"The number of factors of a number is an even number. Then the number is","Perfect square","not a perfect square","a prime number","None of these","b","Any number having an even number of factors is not a perfect square.",,,
,1,"What is the least number which must be added to 1685 in order to obtain a perfect cube?","161","45","106","43","d","11<super>3</super> < 1685 < 12<super>3</super>\n1331 < 1685 < 1728\n1728 - 1685 = 43 is the least number which must be added to 1685 in order to obtain a perfect cube.",,,
,1,"If 83x56y<super>2</super> is divisible by 72. Which of the following can be the difference between x and y?","4","0","2","5","c","Given 83 x 56y<super>2</super> is divisible by 72.\nThe given number must be divisible by both 8 and 9. Since it is divisible by 8, its last 3 digits must be divisible by 8.\nThe possibility of y =3 or 7\nSince the number is also divisible by 9,\n8 + 3 + x + 5 + 6 + y + 2 = 9k, where k is a natural number\n0 <= x, y <= 9\n0 <= x + y <= 18\nX + y = 3\nOr x + y = 12\nIf y =3 then x = 0 or 9\nIf y = 7 then x = 5\nThe difference is 6 or 2 or 3.",,,
,1,"5518387ab is divisible by 99. Which of the following is a possible value b-(a+4)?","-3","-2","-1","-10","d","5518387ab is divisible by both 11 and 9. As it is divisible by 9, sum of its digits = 37 + a + b must be divisible by 9.\n=> a + b = 8 or 17 ----- (1)\nAs it divisible by 11, (5 + 1 + 3 + 7 + b) – ( 5 + 8 + 8 + a)= b – (a + 5) must be divisible by 11\n=>b – a – 5 = 0 or 11\n=> b – a = 5 or -6 ---- (2)\nFrom (1) and (2)\nb = 1 and a = 7\nb – (a + 4) = -10",,,
,1,"Find the number of digits in the smallest number containing all 5’s which is divisible by7?","7","8","4","6","d","Dividing 5 by 7, we find the remainder is not 0. Dividing 55 by 7, we find the remainder is not 0. Likewise adding one 5 each time to the number and dividing it by 7, we find that only when the number consists of a minimum of six 5’s, the remainder when it is divided by 7 is 0. Hence the number must have a minimum of 6 digits.",,,
,1,"Find the remainder of 3<super>40</super> divided by 11","1","3","5","7","a","Rem, (3/11) = 3\nRem, (3^2/11) = 9\nRem, (3^3/11) = 5\nRem, (3^4/11) = 4\nRem, (3^5/11) = 1\nRem, (3^6/11) =3\nThe remainders repeat with a cycle of 5.\nRem (3^40/11)  = Rem (3^5/11) = 1.",,,
,1,"How many pairs of integers (x, y) exist such that the product of x, y and HCF (x, y) = 1080?","8","7","9","12","c","We need to find ordered pairs (x, y) such that xy * HCF(x, y) = 1080.\nLet x = h<super>a</super> and y = h<super>b</super> where h = HCF(x, y) => HCF(a, b) = 1.\nSo h<super>3</super>(ab) = 1080 = (2<super>3</super>)(3<super>3</super>)(5).\nWe need to write 1080 as a product of a perfect cube and another number.\n\nFour cases:\nh = 1, ab = 1080 and b are co-prime. We gave 4 pairs of 8 ordered pairs (1, 1080), (8, 135), (27, 40) and (5, 216). (Essentially we are finding co-prime a,b such that a*b = 1080).\nh = 2, We need to find number of ways of writing (3<super>3</super>) * (5) as a product of two co-prime numbers. This can be done in two ways - 1 and (3<super>3</super>) * (5) , (3<super>3</super>) and (5) number of pairs = 2, number of ordered pairs = 4\nh = 3, number of pairs = 2, number of ordered pairs = 4\nh = 6, number of pairs = 1, number of ordered pairs = 2\nHence total pairs of (x, y) = 9, total number of ordered pairs = 18.\nThe pairs are (1, 1080), (8, 135), (27, 40), (5, 216), (2, 270), (10, 54), (3, 120), (24, 15) and (6, 30).",,,
